id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
treasurestory_julia_03_1,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_1,True,Police,XS_20,XS_20,1.0,bgm_story_breakaway,,,poli,2,idle,julia,12,idle
treasurestory_julia_03_2,treasurestory_julia_03,Self,poli,,Locale_NikkeEpisode:treasurestory_julia_03_2,False,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_3,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_3,True,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_4,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_4,True,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_5,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_5,True,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_6,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_6,True,,XS_20,XS_20,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_7,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_7,True,,XS_20,1,1.3,,,,,2,angry,,12,idle
treasurestory_julia_03_8,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_8,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_9,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_9,True,,1,1,1.3,,,,,2,angry,,12,idle
treasurestory_julia_03_10,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_10,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_11,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_11,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_12,treasurestory_julia_03,Self,julia,,Locale_NikkeEpisode:treasurestory_julia_03_12,False,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_13,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_13,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_14,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_14,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_15,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_15,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_16,treasurestory_julia_03,Self,julia,,Locale_NikkeEpisode:treasurestory_julia_03_16,False,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_17,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_17,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_18,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_18,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_19,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_19,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_20,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_20,True,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_21,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_21,True,,1,1,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_22,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_22,True,,1,1,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_23,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_23,True,,1,1,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_24,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_24,True,,1,1,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_25,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_25,True,,1,1,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_26,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_26,True,,1,XS_20,1.3,,,,,2,idle,,12,idle
treasurestory_julia_03_27,treasurestory_julia_03,Self,poli,,Locale_NikkeEpisode:treasurestory_julia_03_27,False,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_28,treasurestory_julia_03,Self,poli,,Locale_NikkeEpisode:treasurestory_julia_03_28,False,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_29,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_29,True,,XS_20,XS_20,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_30,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_30,True,,XS_20,XS_200,1.3,,,,,2,idle,,12,idle
treasurestory_julia_03_31,treasurestory_julia_03,Monologue,poli,,Locale_NikkeEpisode:treasurestory_julia_03_31,False,,black,black,1.0,none,black,,,2,idle,,12,idle
treasurestory_julia_03_32,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_32,True,,XS_200,XS_200,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_33,treasurestory_julia_03,Narration,poli,,Locale_NikkeEpisode:treasurestory_julia_03_33,False,,XS_200,XS_200,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_34,treasurestory_julia_03,Self,poli,,Locale_NikkeEpisode:treasurestory_julia_03_34,False,,XS_200,XS_200,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_35,treasurestory_julia_03,Narration,poli,,Locale_NikkeEpisode:treasurestory_julia_03_35,False,,XS_200,XS_200,1.0,,,,,2,idle,,12,idle
treasurestory_julia_03_36,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_36,False,,XS_200,XS_20,1.3,bgm_story_boing,,,,2,angry,,12,idle
treasurestory_julia_03_37,treasurestory_julia_03,Self,poli,,Locale_NikkeEpisode:treasurestory_julia_03_37,False,,XS_20,XS_20,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_38,treasurestory_julia_03,Narration,julia,,Locale_NikkeEpisode:treasurestory_julia_03_38,False,,XS_20,S_120,1.3,,,sfx_scn_violin,,2,angry,,12,idle
treasurestory_julia_03_39,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_39,True,,S_120,S_120,1.0,,,,,2,angry,,12,surprise
treasurestory_julia_03_40,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_40,True,,S_120,S_120,1.0,,,,,2,angry,,12,think
treasurestory_julia_03_41,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_41,True,,S_120,S_120,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_42,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_42,True,,S_120,S_120,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_43,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_43,True,,S_120,S_120,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_44,treasurestory_julia_03,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_julia_03_44,False,,S_120,1,1.3,,,,,2,angry,,12,idle
treasurestory_julia_03_45,treasurestory_julia_03,Monologue,poli,,Locale_NikkeEpisode:treasurestory_julia_03_45,False,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_46,treasurestory_julia_03,Monologue,poli,,Locale_NikkeEpisode:treasurestory_julia_03_46,False,,1,1,1.0,,,,,2,angry,,12,idle
treasurestory_julia_03_47,treasurestory_julia_03,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_03_47,True,,1,1,1.0,,,,,2,angry,,12,surprise
