id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,jump_target,set_camera_shake,effects/0/stop_effect_id,conversation_id,play_sound
d_nikke_rupee_04_1,d_nikke_rupee_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_04_1,False,Cafe,1,1,1.0,bgm_inark,,,,,,,,,,,,,,
d_nikke_rupee_04_2,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_2,True,,1,1,1.0,,rupee,rupee,1,sad,,,,,,,,,,
d_nikke_rupee_04_3,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_3,True,,1,1,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_4,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_4,True,,1,1,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_5,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_5,True,,1,1,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_6,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_6,True,,1,1,1.0,,rupee,,1,angry,,,,,,,,,,
d_nikke_rupee_04_7,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_7,True,,1,1,1.0,,rupee,,1,angry,,,,,,,,,,
d_nikke_rupee_04_8,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_8,True,,1,1,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_9,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_9,True,,1,1,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_10,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_10,True,,1,L_10,2.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_11,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_11,True,,L_10,L_10,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_12,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_12,True,,L_10,L_10,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_13,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_13,True,,L_10,L_10,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_14,d_nikke_rupee_04,Self,Self,Locale_NikkeEpisode:d_nikke_rupee_04_14,False,,L_10,L_10,1.0,,rupee,,1,sad,,,,,,,,,,
d_nikke_rupee_04_15,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_15,True,,L_10,L_10,1.0,,rupee,,1,idle,,,,,,,,,,
d_nikke_rupee_04_16,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_16,True,,L_10,L_10,1.0,,rupee,,1,idle,,,,,,,,,,
d_nikke_rupee_04_17,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_17,True,,L_10,L_10,1.0,,rupee,,1,idle,,,,,,,,,,
d_nikke_rupee_04_18,d_nikke_rupee_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_04_18,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,
d_nikke_rupee_04_19,d_nikke_rupee_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_04_19,False,GoodOffice,5,1,2.0,bgm_story_girlstalk,,,1,idle,rupee,black,,,,,,,,
d_nikke_rupee_04_20,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_20,True,,1,1,1.0,,rupee,rupee,1,idle,,,fx_Eventscene_camera_recording,rec,True,,,,,
d_nikke_rupee_04_21,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_21,True,,1,L_10,1.0,,rupee,,1,idle,,,,,,,,,,
d_nikke_rupee_04_22,d_nikke_rupee_04,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_04_22,True,,L_10,L_10,1.0,,rupee,,1,idle,,,,,,,,,,
