id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id
d_nikke_mihara_01_1,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_1,True,mihara,12,think,anis,2,idle,neon,14,no,rapi,4,idle,NikkeRoom,120,120,1.0,bgm_story_whosdumber,,,,
d_nikke_mihara_01_2,d_nikke_mihara_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mihara_01_2,False,,12,think,,2,idle,,14,no,,4,idle,,120,40,1.0,,,,,
d_nikke_mihara_01_3,d_nikke_mihara_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mihara_01_3,False,,12,think,,2,idle,,14,no,,4,idle,,20,20,1.0,,,,,
d_nikke_mihara_01_4,d_nikke_mihara_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mihara_01_4,False,,12,think,,2,idle,,14,no,,4,idle,,140,140,1.0,,,,,
d_nikke_mihara_01_5,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_5,True,,12,think,,2,idle,,14,no,,4,idle,,140,120,1.0,,,,,
d_nikke_mihara_01_6,d_nikke_mihara_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mihara_01_6,True,,12,think,,2,no,,14,idle,,4,idle,,120,1,1.0,,,,,
d_nikke_mihara_01_7,d_nikke_mihara_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mihara_01_7,True,,12,think,,2,no,,14,idle,,4,worry,,1,3,1.0,,,,,
d_nikke_mihara_01_8,d_nikke_mihara_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mihara_01_8,True,,12,think,,2,idle,,14,idle,,4,worry,,3,3,1.0,,,,,
d_nikke_mihara_01_9,d_nikke_mihara_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mihara_01_9,True,,12,think,,2,idle,,14,idle,,4,worry,,3,3,1.0,,,,,
d_nikke_mihara_01_10,d_nikke_mihara_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mihara_01_10,True,,12,think,,2,idle,,14,surprise,,4,worry,,13,13,1.0,,,,,
d_nikke_mihara_01_11,d_nikke_mihara_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mihara_01_11,True,,12,think,,2,idle,,14,surprise,,4,idle,,13,13,1.0,,,,,
d_nikke_mihara_01_12,d_nikke_mihara_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mihara_01_12,False,,12,think,,2,idle,,14,surprise,,4,idle,,13,13,1.0,,,,,
d_nikke_mihara_01_13,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_13,True,,12,think,,2,idle,,14,idle,,4,idle,,13,120,1.0,,,,,
d_nikke_mihara_01_14,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_14,False,,12,think,,2,idle,,14,idle,,4,idle,,120,120,1.0,,,,,
d_nikke_mihara_01_15,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_15,True,,12,think,,2,idle,,14,idle,,4,idle,,120,120,1.0,,,,,
d_nikke_mihara_01_16,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_16,True,,12,think,,2,idle,,14,idle,,4,idle,,120,1200,1.0,,,,,
d_nikke_mihara_01_17,d_nikke_mihara_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mihara_01_17,True,,12,think,,2,no,,14,idle,,4,idle,,1,1,1.0,,,,,
d_nikke_mihara_01_18,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_18,True,,12,think,,2,no,,14,idle,,4,idle,,1,1,1.0,,,,,
d_nikke_mihara_01_19,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_19,True,,12,think,,2,no,,14,idle,,4,idle,,1,1,1.0,,,,,
d_nikke_mihara_01_20,d_nikke_mihara_01,Self,mihara,Self,Locale_NikkeEpisode:d_nikke_mihara_01_20,False,,12,think,,2,no,,14,idle,,4,idle,,1,1,1.0,,,,,
d_nikke_mihara_01_21,d_nikke_mihara_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mihara_01_21,True,,12,think,,2,idle,,14,idle,,4,idle,,1,1,1.0,,,,,
d_nikke_mihara_01_22,d_nikke_mihara_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mihara_01_22,True,,12,think,,2,idle,,14,delight,,4,idle,,1,13,1.0,,,,,
d_nikke_mihara_01_23,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_23,True,,12,surprise,,2,idle,,14,delight,,4,idle,,13,13,1.0,,,,,
d_nikke_mihara_01_24,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_24,True,,12,idle,,2,idle,,14,idle,,4,idle,,13,13,1.0,,,,,
d_nikke_mihara_01_25,d_nikke_mihara_01,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_mihara_01_25,True,,12,idle,,2,idle,,14,idle,,4,idle,,13,120,1.0,,,,,
