id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_quency_03_1,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_1,True,Jail,100,100,1.0,bgm_story_leisuretime,,,,quency,1,idle
d_nikke_quency_03_2,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_2,False,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_3,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_3,True,,100,1,1.0,,,,,,1,surprise
d_nikke_quency_03_4,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_4,True,,1,1,1.0,,,,,,1,surprise
d_nikke_quency_03_5,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_5,False,,1,1,1.0,,d_nikke_quency_03_7,,,,1,surprise
d_nikke_quency_03_6,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_6,False,,1,1,1.0,,d_nikke_quency_03_12,,,,1,surprise
d_nikke_quency_03_7,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_7,True,,1,10,1.0,,,,,,1,idle
d_nikke_quency_03_8,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_8,False,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_9,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_9,True,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_10,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_10,True,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_11,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_11,False,,10,10,1.0,,d_nikke_quency_03_15,,,,1,idle
d_nikke_quency_03_12,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_12,True,,1,10,1.0,,,,,,1,idle
d_nikke_quency_03_13,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_13,False,,10,10,1.0,,,,,,1,idle
