id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/1/hide_char_id,play_sound,characters/0/hide_char_id,set_filter_01,fade
d_nikke_mica_01_1,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_1,False,none,black,black,1.0,bgm_story_whosdumber,,,,,,,,,,,,,
d_nikke_mica_01_2,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_2,False,NikkeRoom,black,black,1.0,,,,,,,,,,,,,,
d_nikke_mica_01_3,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_3,False,,XS_130,XS_1300,1.0,,belorta,13,"expression,idle",,,,,,,,,,
d_nikke_mica_01_4,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_4,False,,XS_1300,XS_1300,1.0,,,13,delight,,,,,,,,,,
d_nikke_mica_01_5,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_5,False,,XS_1300,XS_130,1.0,,,13,angry,,,,,,,,,,
d_nikke_mica_01_6,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_6,False,,XS_130,XS_130,1.0,,,13,angry,,,,,,,,,,
d_nikke_mica_01_7,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_7,False,,black,black,1.0,,,13,angry,,,,,,,,,,
d_nikke_mica_01_8,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_8,False,,black,black,1.0,,,13,,,,,,,,,,,
d_nikke_mica_01_9,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_9,False,,black,black,1.0,,belorta,13,,mica,1,idle,,,,,,,
d_nikke_mica_01_10,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_10,True,,XS_130,113,1.0,,,13,idle,,1,idle,belorta,belorta,,,,,
