id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_maiden_icerose_03_1,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_1,True,Crowncastlebedroom_n,1,1,1.0,event_bgm_icedragonsaga_adventure,,,,maiden_w,1,shy,,,,
d_nikke_maiden_icerose_03_2,d_nikke_maiden_icerose_03,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_2,False,,1,1,1.0,,,,,,1,shy,,,,
d_nikke_maiden_icerose_03_3,d_nikke_maiden_icerose_03,Monologue,,,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_3,False,,1,1,1.0,,,,,,1,shy,,,,
d_nikke_maiden_icerose_03_4,d_nikke_maiden_icerose_03,Monologue,,,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_4,False,,1,1,1.0,,,,,,1,shy,,,,
d_nikke_maiden_icerose_03_5,d_nikke_maiden_icerose_03,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_5,False,,1,1,1.0,,,,,,1,shy,,,,
d_nikke_maiden_icerose_03_6,d_nikke_maiden_icerose_03,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_6,False,,1,1,1.0,,,,,,1,shy,,,,
d_nikke_maiden_icerose_03_7,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_7,True,,1,1,1.0,,,,,,1,idle,,,,
d_nikke_maiden_icerose_03_8,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_8,True,,1,1,1.0,,,,,,1,idle,,,,
d_nikke_maiden_icerose_03_9,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_9,True,,1,1,1.0,,,,,,1,idle,,,,
d_nikke_maiden_icerose_03_10,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_10,True,,1,L_10,1.0,,,,,,1,delight,,,,
d_nikke_maiden_icerose_03_11,d_nikke_maiden_icerose_03,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_11,False,,L_10,L_10,1.0,,,,,,1,delight,,,,
d_nikke_maiden_icerose_03_12,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_12,True,,L_10,L_10,1.0,,,,,,1,delight,,,,
d_nikke_maiden_icerose_03_13,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_13,True,,L_10,L_10,1.0,,,,,,1,delight,,,,
d_nikke_maiden_icerose_03_14,d_nikke_maiden_icerose_03,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_03_14,True,,L_10,L_10,1.0,,,,,,1,idle,,,,
