id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_ein_04_1,d_nikke_ein_04,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ein_04_1,True,ClothingStore,1,1,1.0,bgm_story_breakaway,,ein,2,delight,rupee,12,idle,
d_nikke_ein_04_2,d_nikke_ein_04,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ein_04_2,True,,1,1,1.0,,,,2,delight,,12,idle,
d_nikke_ein_04_3,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_3,True,,1,1,1.0,,,,2,delight,,12,idle,
d_nikke_ein_04_4,d_nikke_ein_04,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ein_04_4,True,,1,1,1.0,,,,2,surprise,,12,idle,
d_nikke_ein_04_5,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_5,True,,1,L_120,1.0,,,,2,surprise,,12,shy,
d_nikke_ein_04_6,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_6,True,,L_120,L_120,1.0,,,,2,surprise,,12,angry,
d_nikke_ein_04_7,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_7,True,,L_120,L_120,1.0,,,,2,surprise,,12,angry,
d_nikke_ein_04_8,d_nikke_ein_04,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ein_04_8,True,,L_120,1,1.0,,,,2,idle,,12,angry,
d_nikke_ein_04_9,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_9,True,,1,1,1.0,,,,2,idle,,12,idle,
d_nikke_ein_04_10,d_nikke_ein_04,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ein_04_10,True,,1,1,1.0,,,,2,angry,,12,idle,
d_nikke_ein_04_11,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_11,True,,1,L_120,1.0,,,,2,angry,,12,idle,
d_nikke_ein_04_12,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_12,True,,L_120,L_120,1.0,,,,2,angry,,12,idle,
d_nikke_ein_04_13,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_13,True,,L_120,L_120,1.0,,,,2,angry,,12,idle,
d_nikke_ein_04_14,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_14,True,,L_120,L_120,1.0,,,,2,angry,,12,idle,
d_nikke_ein_04_15,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_15,True,,L_120,1,1.0,,,,2,angry,,12,idle,
d_nikke_ein_04_16,d_nikke_ein_04,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ein_04_16,True,,1,1,1.0,,,,2,idle,,12,idle,
d_nikke_ein_04_17,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_17,True,,1,1,1.0,,,,2,idle,,12,idle,
d_nikke_ein_04_18,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_18,True,,1,1,1.0,,,,2,idle,,12,idle,
d_nikke_ein_04_19,d_nikke_ein_04,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ein_04_19,True,,1,1,1.0,,,,2,idle,,12,idle,
