id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,play_sound,jump_target
d_nikke_milk_bloomingbunny_05_1,d_nikke_milk_bloomingbunny_05,Monologue,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_1,False,CommanderRoom_n,1,1,1.0,bgm_story_impression,,,,,,
d_nikke_milk_bloomingbunny_05_2,d_nikke_milk_bloomingbunny_05,Monologue,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_2,False,,1,1,1.0,,,,,,,
d_nikke_milk_bloomingbunny_05_3,d_nikke_milk_bloomingbunny_05,Monologue,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_3,False,,1,10,1.5,,milk_b,1,shy,,,
d_nikke_milk_bloomingbunny_05_4,d_nikke_milk_bloomingbunny_05,Speech,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_4,True,,10,10,1.0,,,1,shy,milk_b,,
d_nikke_milk_bloomingbunny_05_5,d_nikke_milk_bloomingbunny_05,Speech,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_5,True,,10,10,1.0,,,1,shy,milk_b,,
d_nikke_milk_bloomingbunny_05_6,d_nikke_milk_bloomingbunny_05,Self,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_6,False,,10,10,1.0,,,1,shy,,,
d_nikke_milk_bloomingbunny_05_7,d_nikke_milk_bloomingbunny_05,Speech,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_7,True,,10,10,1.0,,,1,shy,milk_b,,
d_nikke_milk_bloomingbunny_05_8,d_nikke_milk_bloomingbunny_05,Speech,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_8,True,,10,10,1.0,,,1,shy,milk_b,,
d_nikke_milk_bloomingbunny_05_9,d_nikke_milk_bloomingbunny_05,Self,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_9,False,,10,10,1.0,,,1,shy,,,
d_nikke_milk_bloomingbunny_05_10,d_nikke_milk_bloomingbunny_05,Speech,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_10,True,,10,10,1.0,,,1,angry2,milk_b,,
d_nikke_milk_bloomingbunny_05_11,d_nikke_milk_bloomingbunny_05,Monologue,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_05_11,False,,10,100,1.0,,,1,angry2,,sfx_scn_medhit2,
