id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id
d_nikke_snowwhite_young_02_1,d_nikke_snowwhite_young_02,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_1,True,commander,14,idle,Armory,L_140,L_140,1.0,bgm_story_tuffguys,,,,,,,,,
d_nikke_snowwhite_young_02_2,d_nikke_snowwhite_young_02,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_2,True,,14,idle,,L_140,L_140,1.0,,,,,,,,,,
d_nikke_snowwhite_young_02_3,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_3,True,,14,idle,,L_140,S_120,1.0,,snowwhite_o,12,shy,,,,,,
d_nikke_snowwhite_young_02_4,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_4,False,,14,idle,,S_120,S_120,1.0,,,12,no,,,,,,
d_nikke_snowwhite_young_02_5,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_5,False,,14,idle,,S_120,S_120,1.0,,,12,no,,,,,,
d_nikke_snowwhite_young_02_6,d_nikke_snowwhite_young_02,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_6,True,,14,idle,,S_120,13,1.0,,,12,no,,,,,,
d_nikke_snowwhite_young_02_7,d_nikke_snowwhite_young_02,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_7,True,,14,idle,,13,13,1.0,,,12,no,,,,,,
d_nikke_snowwhite_young_02_8,d_nikke_snowwhite_young_02,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_8,True,,14,idle,,13,13,1.0,,,12,no,,,,,,
d_nikke_snowwhite_young_02_9,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_9,True,,14,idle,,13,S_120,0.6,,,12,angry,,,,,,
d_nikke_snowwhite_young_02_10,d_nikke_snowwhite_young_02,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_10,True,,14,delight,,S_120,S_120,1.0,,,12,angry,,,,,,
d_nikke_snowwhite_young_02_11,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_11,False,,14,delight,,S_120,S_120,1.0,,,12,no,,,,,,
d_nikke_snowwhite_young_02_12,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_12,True,,14,delight,none,black,black,1.0,none,,12,no,commander,black_without_dialogue,,,,
d_nikke_snowwhite_young_02_14,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_14,True,,,,Armory,13,13,1.0,bgm_story_leisuretime,,12,sad,,,liliweiss,14,idle,
d_nikke_snowwhite_young_02_15,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_15,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_16,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_16,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_17,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_17,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_18,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_18,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_19,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_19,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_20,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_20,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_21,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_21,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_22,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_22,True,,,,,13,140,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_23,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_23,True,,,,,140,140,1.0,,,12,sad,,,,14,delight,
d_nikke_snowwhite_young_02_24,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_24,True,,,,,140,S_120,1.0,,,12,surprise,,,,14,delight,
d_nikke_snowwhite_young_02_25,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_25,True,,,,,S_120,S_120,1.0,,,12,surprise,,,,14,delight,
d_nikke_snowwhite_young_02_26,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_26,False,,,,,black,black,1.0,,,12,surprise,,,,14,idle,snowwhite_o
d_nikke_snowwhite_young_02_27,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_27,False,,,,,black,black,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_28,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_28,True,,,,,14,140,0.6,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_29,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_29,True,,,,,140,140,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_30,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_30,False,,,,,black,black,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_31,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_31,True,,,,,140,140,0.6,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_32,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_32,True,,,,,140,140,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_33,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_33,False,,,,,black,black,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_34,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_34,True,,,,,140,140,0.6,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_35,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_35,True,,,,,140,140,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_36,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_36,False,,,,,black,black,1.0,,,,,,,,14,idle,
d_nikke_snowwhite_young_02_37,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_37,False,,,,,black,black,1.0,,snowwhite_o,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_38,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_38,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_39,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_39,True,,,,,13,13,1.0,,,12,sad,,,,14,idle,
d_nikke_snowwhite_young_02_40,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_40,False,,,,,black,black,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_41,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_41,True,,,,,13,13,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_42,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_42,False,,,,,13,13,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_43,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_43,False,,,,,black,black,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_44,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_44,True,,,,,13,13,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_45,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_45,False,,,,,13,13,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_46,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_46,True,,,,,13,13,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_47,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_47,True,,,,,13,S_120,1.0,,,12,angry,,,,14,idle,
d_nikke_snowwhite_young_02_48,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_48,False,,,,,S_120,S_120,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_49,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_49,True,,,,,S_120,140,1.0,,,12,no,,,,14,delight,
d_nikke_snowwhite_young_02_50,d_nikke_snowwhite_young_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_50,False,,,,,black,black,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_51,d_nikke_snowwhite_young_02,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_51,False,,,,,S_120,S_120,1.0,,,12,no,,,,14,idle,
d_nikke_snowwhite_young_02_52,d_nikke_snowwhite_young_02,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_02_52,True,,,,,S_120,13,1.0,,,12,no,,,,14,idle,
