id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/hide_char_id,characters/4/hide_char_id
d_nikke_littlemermaid_02_1,d_nikke_littlemermaid_02,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_02_1,True,hansel,14,idle,gretel,16,smile,redshoes,4,worry,cinderella,6,surprise_blue,littlemermaid,2,think,abe,12,worry,TechIndoor,5,5,1.0,event_bgm_oldtales_firstpage,,
d_nikke_littlemermaid_02_2,d_nikke_littlemermaid_02,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_02_2,True,,14,idle,,16,smile,,4,worry,,6,surprise_blue,,2,think,,12,worry,,5,5,1.0,,,
d_nikke_littlemermaid_02_3,d_nikke_littlemermaid_02,Speech,redshoes,redshoes,Locale_NikkeEpisode:d_nikke_littlemermaid_02_3,True,,14,idle,,16,smile,,4,worry,,6,surprise_blue,,2,think,,12,worry,,5,5,1.0,,,
d_nikke_littlemermaid_02_4,d_nikke_littlemermaid_02,Speech,hansel,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_02_4,True,,14,idle,,16,smile,,4,worry,,6,surprise_blue,,2,think,,12,worry,,15,15,1.5,,,
d_nikke_littlemermaid_02_5,d_nikke_littlemermaid_02,Speech,hansel,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_02_5,True,,14,idle,,16,smile,,4,worry,,6,surprise_blue,,2,think,,12,worry,,15,15,1.0,,,
d_nikke_littlemermaid_02_6,d_nikke_littlemermaid_02,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_littlemermaid_02_6,True,,14,idle,,16,smile,,4,worry,,6,surprise_blue,,2,think,,12,worry,,1,1,1.0,,,
d_nikke_littlemermaid_02_7,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_7,True,,14,idle,,16,smile,,4,worry,,6,surprise_blue,,2,think,,12,worry,,1,1,1.0,,,
d_nikke_littlemermaid_02_8,d_nikke_littlemermaid_02,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_02_8,True,,14,idle,,16,smile,,4,worry,,6,idle_blue,,2,think,,12,worry,,5,5,1.0,,,
d_nikke_littlemermaid_02_9,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_9,True,,14,idle,,16,smile,,4,worry,,6,idle_blue,,2,think,,12,worry,,5,1,1.3,,,
d_nikke_littlemermaid_02_10,d_nikke_littlemermaid_02,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_littlemermaid_02_10,True,,14,idle,,16,smile,,4,worry,,6,idle_blue,,2,idle,,12,worry,,1,1,1.0,,,
d_nikke_littlemermaid_02_11,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_11,True,,14,idle,,16,idle,,4,worry,,6,idle_blue,,2,idle,,12,idle,,1,1,1.0,,,
d_nikke_littlemermaid_02_12,d_nikke_littlemermaid_02,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_littlemermaid_02_12,True,,14,idle,,16,idle,,4,worry,,6,idle_blue,,2,surprise,,12,idle,,1,1,1.0,,,
d_nikke_littlemermaid_02_13,d_nikke_littlemermaid_02,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_littlemermaid_02_13,True,,14,idle,,16,idle,,4,worry,,6,idle_blue,,2,idle,,12,idle,,1,1,1.0,,,
d_nikke_littlemermaid_02_14,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_14,True,,14,idle,,16,idle,,4,worry,,6,idle_blue,,2,idle,,12,worry,,1,1,1.0,,,
d_nikke_littlemermaid_02_15,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_15,True,,14,idle,,16,idle,,4,worry,,6,idle_blue,,2,idle,,12,worry,,1,1,1.0,,,
d_nikke_littlemermaid_02_16,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_16,True,,14,idle,,16,idle,,4,worry,,6,idle_blue,,2,idle,,12,worry,,1,1,1.0,,,
d_nikke_littlemermaid_02_17,d_nikke_littlemermaid_02,Speech,hansel,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_02_17,True,,14,void,,16,void,,4,worry,,6,idle_blue,,2,idle,,12,worry,,1,15,1.5,,,
d_nikke_littlemermaid_02_18,d_nikke_littlemermaid_02,Speech,hansel,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_02_18,True,,14,void,,16,void,,4,worry,,6,idle_blue,,2,idle,,12,worry,,15,15,1.0,,,
d_nikke_littlemermaid_02_19,d_nikke_littlemermaid_02,Speech,abe,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_02_19,True,,14,void,,16,void,,4,worry,,6,idle_blue,,2,idle,,12,worry,,15,13,1.3,,,
