id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_flora_05_1,d_nikke_flora_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_1,False,SecretGarden,black,black,1.0,none,,,flora,3,idle
d_nikke_flora_05_2,d_nikke_flora_05,Self,Self,Locale_NikkeEpisode:d_nikke_flora_05_2,False,,3,3,1.0,bgm_story_leisuretime,,,,3,idle
d_nikke_flora_05_3,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_3,True,,3,3,1.0,,flora,,,3,idle
d_nikke_flora_05_4,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_4,True,,3,3,1.0,,flora,,,3,delight
d_nikke_flora_05_5,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_5,True,,3,3,1.0,,flora,,,3,idle
d_nikke_flora_05_6,d_nikke_flora_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_6,False,,3,3,1.0,,,,,3,idle
d_nikke_flora_05_7,d_nikke_flora_05,Self,Self,Locale_NikkeEpisode:d_nikke_flora_05_7,False,,3,3,1.0,,,,,3,idle
d_nikke_flora_05_8,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_8,True,,3,30,1.0,,flora,,,3,delight
d_nikke_flora_05_9,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_9,True,,30,30,1.0,,flora,,,3,delight
d_nikke_flora_05_10,d_nikke_flora_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_10,False,,30,30,1.0,,,,,3,delight
d_nikke_flora_05_11,d_nikke_flora_05,Self,Self,Locale_NikkeEpisode:d_nikke_flora_05_11,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_05_12,d_nikke_flora_05,Self,Self,Locale_NikkeEpisode:d_nikke_flora_05_12,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_05_13,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_13,True,,30,30,1.0,,flora,,,3,idle
d_nikke_flora_05_14,d_nikke_flora_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_05_14,False,,17,170,1.0,,,,,3,idle
d_nikke_flora_05_15,d_nikke_flora_05,Self,Self,Locale_NikkeEpisode:d_nikke_flora_05_15,False,,170,170,1.0,,,,,3,idle
d_nikke_flora_05_16,d_nikke_flora_05,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_05_16,True,,30,30,1.0,,flora,,,3,delight
