id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,conversation_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_bay_05_1,d_nikke_bay_05,Self,bay,Locale_NikkeEpisode:d_nikke_bay_05_1,False,bay,1,idle,GoodOffice,10,10,1.0,bgm_story_leisuretime,,,,,,,,,,
d_nikke_bay_05_2,d_nikke_bay_05,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_05_2,True,,1,idle,,10,10,1.0,,bay,,,,,,,,,
d_nikke_bay_05_3,d_nikke_bay_05,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_05_3,True,,1,idle,,10,10,1.0,,bay,,,,,,,,,
d_nikke_bay_05_4,d_nikke_bay_05,Self,bay,Locale_NikkeEpisode:d_nikke_bay_05_4,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_bay_05_5,d_nikke_bay_05,Self,bay,Locale_NikkeEpisode:d_nikke_bay_05_5,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_bay_05_6,d_nikke_bay_05,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_05_6,True,,1,idle,,10,10,1.0,,bay,,,,,,,,,
d_nikke_bay_05_7,d_nikke_bay_05,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_05_7,True,,1,idle,,10,10,1.0,,bay,,,,,,,,,
d_nikke_bay_05_8,d_nikke_bay_05,Self,bay,Locale_NikkeEpisode:d_nikke_bay_05_8,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_bay_05_9,d_nikke_bay_05,Self,bay,Locale_NikkeEpisode:d_nikke_bay_05_9,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_bay_05_10,d_nikke_bay_05,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_05_10,True,,1,surprise,,10,10,1.0,,bay,,,,,,,,,
d_nikke_bay_05_11,d_nikke_bay_05,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_05_11,True,,1,surprise,,10,100,1.0,,bay,,,,,,,,,
d_nikke_bay_05_12,d_nikke_bay_05,Monologue,bay,Locale_NikkeEpisode:d_nikke_bay_05_12,False,,1,idle,,black,black,1.0,none,,,,,,,,,,
