id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,set_filter_01,characters/0/hide_char_id
d_nikke_vesti_04_1,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_1,True,vesti,1,idle,RoyalRoad,1,1,1.0,bgm_inark,,,,,
d_nikke_vesti_04_2,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_2,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_vesti_04_3,d_nikke_vesti_04,Choice,vesti,,Locale_NikkeEpisode:d_nikke_vesti_04_3,False,,1,idle,,1,1,1.0,,d_nikke_vesti_04_5,,,,
d_nikke_vesti_04_4,d_nikke_vesti_04,Choice,vesti,,Locale_NikkeEpisode:d_nikke_vesti_04_4,False,,1,idle,,1,1,1.0,,d_nikke_vesti_04_7,,,,
d_nikke_vesti_04_5,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_5,True,,1,idle,,1,1,1.0,,,,,,
d_nikke_vesti_04_6,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_6,True,,1,idle,,1,1,1.0,,d_nikke_vesti_04_8,,,,
d_nikke_vesti_04_7,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_7,True,,1,idle,,1,1,1.0,,d_nikke_vesti_04_8,,,,
d_nikke_vesti_04_8,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_8,True,,1,delight,,1,XS_10,1.0,,,,,,
d_nikke_vesti_04_9,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_9,True,,1,delight,,XS_10,XS_10,1.0,,,,,,
d_nikke_vesti_04_10,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_10,True,,1,delight,,XS_10,XS_10,1.0,,,,,,
d_nikke_vesti_04_11,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_11,True,,1,delight,,XS_10,XS_10,1.0,,,,,,
d_nikke_vesti_04_12,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_12,True,,1,idle,,XS_10,XS_10,1.0,,,,,,
d_nikke_vesti_04_13,d_nikke_vesti_04,Choice,vesti,,Locale_NikkeEpisode:d_nikke_vesti_04_13,False,,1,idle,,XS_10,XS_10,1.0,,d_nikke_vesti_04_16,,,,
d_nikke_vesti_04_14,d_nikke_vesti_04,Choice,vesti,,Locale_NikkeEpisode:d_nikke_vesti_04_14,False,,1,idle,,XS_10,XS_10,1.0,,d_nikke_vesti_04_18,,,,
d_nikke_vesti_04_15,d_nikke_vesti_04,Choice,vesti,,Locale_NikkeEpisode:d_nikke_vesti_04_15,False,,1,idle,,XS_10,XS_10,1.0,,d_nikke_vesti_04_25,,,,
d_nikke_vesti_04_16,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_16,True,,1,delight,,XS_10,XS_10,0.7,,,,,,
d_nikke_vesti_04_17,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_17,True,,1,delight,,XS_10,XS_10,1.0,,d_nikke_vesti_04_27,,,,
d_nikke_vesti_04_18,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_18,True,,1,idle,,XS_10,XS_10,1.0,,,,,,
d_nikke_vesti_04_19,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_19,False,,1,idle,,XS_10,XS_10,1.0,,,,,,
d_nikke_vesti_04_20,d_nikke_vesti_04,Speech,vesti,vesti,Locale_NikkeEpisode:d_nikke_vesti_04_20,True,,1,idle,,XS_10,XS_10,0.5,,,,,,
