id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_ce005_01_04_1,d_nikke_ce005_01_04,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_04_1,True,Arboretum,1,1,1.0,bgm_story_backtonormal,,,ce005_01_01,1,idle,,,,
d_nikke_ce005_01_04_2,d_nikke_ce005_01_04,Self,ce005_01_01,,Locale_NikkeEpisode:d_nikke_ce005_01_04_2,False,,1,1,1.0,,,,,1,idle,,,,
d_nikke_ce005_01_04_3,d_nikke_ce005_01_04,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_04_3,True,,1,1,1.0,,,,,1,idle,,,,
d_nikke_ce005_01_04_4,d_nikke_ce005_01_04,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_04_4,True,,1,1,1.0,,,,,1,idle,,,,
d_nikke_ce005_01_04_5,d_nikke_ce005_01_04,Self,ce005_01_01,,Locale_NikkeEpisode:d_nikke_ce005_01_04_5,True,,1,1,1.0,,,,,1,idle,,,,
d_nikke_ce005_01_04_6,d_nikke_ce005_01_04,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_04_6,True,,1,1,1.0,,,,,1,idle,,,,
d_nikke_ce005_01_04_7,d_nikke_ce005_01_04,Narration,,,Locale_NikkeEpisode:d_nikke_ce005_01_04_7,False,,1,1,1.0,,sfx_scn_phonevibration,,,1,idle,,,,
d_nikke_ce005_01_04_8,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_8,True,,1,3,1.0,,,,,1,idle,flora,3,idle,
d_nikke_ce005_01_04_9,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_9,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_10,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_10,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_11,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_11,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_12,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_12,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_13,d_nikke_ce005_01_04,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_04_13,True,,3,event_exnii_talk_06,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_14,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_14,True,,event_exnii_talk_06,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_15,d_nikke_ce005_01_04,Self,flora,,Locale_NikkeEpisode:d_nikke_ce005_01_04_15,False,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_16,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_16,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_17,d_nikke_ce005_01_04,Self,flora,,Locale_NikkeEpisode:d_nikke_ce005_01_04_17,False,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_18,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_18,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_19,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_19,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_20,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_20,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_nikke_ce005_01_04_21,d_nikke_ce005_01_04,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_04_21,True,,3,3,1.0,,,,,1,idle,,3,idle,
