id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_rapi_redhood_03_1,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_1,True,rapi_red,2,idle,ShoppingMall,20,20,1.0,bgm_story_cottoncandy,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_2,d_nikke_rapi_redhood_03,Self,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_2,False,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_3,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_3,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_4,d_nikke_rapi_redhood_03,Self,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_4,False,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_5,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_5,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_6,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_6,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_7,d_nikke_rapi_redhood_03,Self,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_7,False,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_8,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_8,True,,2,think,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_9,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_9,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_10,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_10,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_11,d_nikke_rapi_redhood_03,Self,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_11,False,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_12,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_12,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_13,d_nikke_rapi_redhood_03,Self,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_13,False,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_14,d_nikke_rapi_redhood_03,Monologue,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_14,False,,2,idle,,black,black,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_15,d_nikke_rapi_redhood_03,Monologue,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_15,False,,2,idle,,black,black,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_16,d_nikke_rapi_redhood_03,Monologue,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_16,False,,2,idle,,black,black,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_03_17,d_nikke_rapi_redhood_03,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_03_17,True,,2,idle,,20,20,1.0,,,,,,,,,,,,,,
