id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/0/hide_char_id,play_sound
treasurestory_exia_04_1,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_1,True,elegg,1,delight,trony,3,no,exia,13,idle,Laboratory,1,1,1.0,bgm_inark,,,
treasurestory_exia_04_2,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_2,True,,1,delight,,3,no,,13,idle,,1,1,1.0,,,,
treasurestory_exia_04_3,treasurestory_exia_04,Speech,trony,trony,Locale_NikkeEpisode:treasurestory_exia_04_3,False,,1,delight,,3,no,,13,idle,,1,30,1.0,,,,
treasurestory_exia_04_4,treasurestory_exia_04,Speech,trony,trony,Locale_NikkeEpisode:treasurestory_exia_04_4,True,,1,delight,,3,no,,13,idle,,30,30,1.0,,,,
treasurestory_exia_04_5,treasurestory_exia_04,Monologue,trony,,Locale_NikkeEpisode:treasurestory_exia_04_5,False,,1,delight,,3,no,,13,idle,,30,1,1.0,,trony,,
treasurestory_exia_04_6,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_6,True,,1,delight,,3,,,13,idle,,1,1,1.0,,,,
treasurestory_exia_04_7,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_7,True,,1,delight,,3,,,13,idle,,1,1,1.0,,,,
treasurestory_exia_04_8,treasurestory_exia_04,Monologue,elegg,,Locale_NikkeEpisode:treasurestory_exia_04_8,False,,1,,,3,,,13,idle,,1,S_130,1.0,,,elegg,sfx_scn_tools
treasurestory_exia_04_9,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_9,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_10,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_10,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_11,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_11,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_12,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_12,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_13,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_13,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_14,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_14,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_15,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_15,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_16,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_16,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_17,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_17,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_18,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_18,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_19,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_19,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_20,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_20,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_21,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_21,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_22,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_22,True,,1,,,3,,,13,surprise,,S_130,S_130,1.0,,,,
treasurestory_exia_04_23,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_23,True,,1,,,3,,,13,surprise,,S_130,S_130,1.0,,,,
treasurestory_exia_04_24,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_24,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_25,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_25,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_26,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_26,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_27,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_27,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_28,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_28,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_29,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_29,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_30,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_30,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_31,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_31,False,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_32,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_32,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_33,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_33,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_34,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_34,True,,1,,,3,,,13,idle,,S_130,S_130,1.0,,,,
treasurestory_exia_04_35,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_35,True,,1,,,3,,,13,idle,,S_130,S_1300,1.0,,,,
treasurestory_exia_04_36,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_36,True,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_37,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_37,True,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_38,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_38,True,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_39,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_39,True,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_40,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_40,True,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_41,treasurestory_exia_04,Self,exia,,Locale_NikkeEpisode:treasurestory_exia_04_41,False,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_42,treasurestory_exia_04,Monologue,exia,,Locale_NikkeEpisode:treasurestory_exia_04_42,False,,1,,,3,,,13,idle,,S_1300,S_1300,1.0,,,,
treasurestory_exia_04_43,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_43,True,elegg,3,delight,trony,1,no,,13,idle,,S_1300,2,1.0,,,,
treasurestory_exia_04_44,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_44,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,,,
treasurestory_exia_04_45,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_45,True,,3,idle,,1,no,,13,idle,,2,12,1.0,,,,
treasurestory_exia_04_46,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_46,True,,3,idle,,1,no,,13,idle,,12,12,1.0,,,,
treasurestory_exia_04_47,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_47,False,,3,idle,,1,no,,13,idle,,12,2,1.0,,,,
treasurestory_exia_04_48,treasurestory_exia_04,Speech,elegg,elegg,Locale_NikkeEpisode:treasurestory_exia_04_48,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,,,
treasurestory_exia_04_49,treasurestory_exia_04,Monologue,exia,,Locale_NikkeEpisode:treasurestory_exia_04_49,False,,3,idle,,1,no,,13,idle,,2,2,1.0,,,,
treasurestory_exia_04_50,treasurestory_exia_04,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_04_50,False,,3,idle,,1,no,,13,idle,,2,S_130,1.0,,,,
treasurestory_exia_04_51,treasurestory_exia_04,Monologue,exia,,Locale_NikkeEpisode:treasurestory_exia_04_51,False,,3,idle,,1,no,,13,idle,,S_130,S_130,1.0,,,,
