id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_rosanna_chicocean_05_1,d_nikke_rosanna_chicocean_05,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_1,False,UninhabitedIsland_n,2,2,1.0,bgm_story_voicesofthesea,,,rosanna_s,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_2,d_nikke_rosanna_chicocean_05,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_2,False,,2,2,1.0,,,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_3,d_nikke_rosanna_chicocean_05,Self,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_3,False,,2,2,1.0,,,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_4,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_4,True,,2,2,1.0,,rosanna_s,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_5,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_5,True,,2,2,1.0,,rosanna_s,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_6,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_6,True,,2,2,1.0,,rosanna_s,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_7,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_7,True,,2,2,1.0,,rosanna_s,,,2,delight,,,,,,,,
d_nikke_rosanna_chicocean_05_8,d_nikke_rosanna_chicocean_05,Self,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_8,False,,2,2,1.0,,,,,2,delight,,,,,,,,
d_nikke_rosanna_chicocean_05_9,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_9,True,,2,2,1.0,,rosanna_s,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_10,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_10,True,,2,2,1.0,,rosanna_s,,,2,idle,,,,,,,,
d_nikke_rosanna_chicocean_05_11,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_11,False,,2,20,1.0,,rosanna_s,,,2,angry,,,,,,,,
d_nikke_rosanna_chicocean_05_12,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_12,True,,20,200,1.0,,rosanna_s,,,2,angry,,,,,,,,
d_nikke_rosanna_chicocean_05_13,d_nikke_rosanna_chicocean_05,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_13,False,,black,black,1.0,,,,,2,angry,,,,,,,,
d_nikke_rosanna_chicocean_05_14,d_nikke_rosanna_chicocean_05,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_14,False,,black,black,1.0,,,,,2,angry,,,,,,,,
d_nikke_rosanna_chicocean_05_15,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_15,True,,16,S_160,1.0,,jackal,,,2,angry,jackal,16,shy_02,,viper_s,18,sad,
d_nikke_rosanna_chicocean_05_16,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_16,True,,S_160,17,1.0,,viper_s,,,2,angry,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_17,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_17,True,,17,17,1.0,,viper_s,,,2,angry,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_18,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_18,True,,17,17,1.0,,jackal,,,2,angry,,16,shy_01,,,18,sad,
d_nikke_rosanna_chicocean_05_19,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_19,True,,17,17,1.0,,jackal,,,2,angry,,16,crazy,,,18,sad,
d_nikke_rosanna_chicocean_05_20,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_20,True,,17,17,1.0,,viper_s,,,2,angry,,16,crazy,,,18,sad,
d_nikke_rosanna_chicocean_05_21,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_21,True,,17,S_1600,1.0,,jackal,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_22,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_22,True,,20,200,1.0,,rosanna_s,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_23,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_23,True,,200,200,1.0,,rosanna_s,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_24,d_nikke_rosanna_chicocean_05,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_24,False,,200,200,1.0,,,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_25,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_25,True,,S_160,S_1600,1.0,,jackal,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_26,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_26,True,,S_1600,S_1800,1.0,,viper_s,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_27,d_nikke_rosanna_chicocean_05,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_27,False,,S_1800,S_1800,1.0,,,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_28,d_nikke_rosanna_chicocean_05,Narration,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_28,False,,200,20,0.5,,,sfx_scn_disappearnetural,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_29,d_nikke_rosanna_chicocean_05,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_29,False,,20,20,1.0,,rosanna_s,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_30,d_nikke_rosanna_chicocean_05,Self,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_30,False,,20,20,1.0,,,,,2,void,,16,shy_02,,,18,sad,
d_nikke_rosanna_chicocean_05_31,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_31,True,,S_1800,S_180,0.5,,viper_s,,,2,void,,16,shy_02,,,18,surprise,
d_nikke_rosanna_chicocean_05_32,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_32,True,,S_180,S_160,1.0,,jackal,,,2,void,,16,crazy,,,18,surprise,
d_nikke_rosanna_chicocean_05_33,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_33,True,,S_160,S_160,1.0,,jackal,,,2,void,,16,crazy,,,18,surprise,
d_nikke_rosanna_chicocean_05_34,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_34,True,,S_160,S_160,1.0,,jackal,,,2,void,,16,crazy,,,18,surprise,
d_nikke_rosanna_chicocean_05_35,d_nikke_rosanna_chicocean_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_35,True,,S_160,S_160,1.0,,jackal,,,2,void,,16,crazy,,,18,surprise,
d_nikke_rosanna_chicocean_05_36,d_nikke_rosanna_chicocean_05,Narration,jackal,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_36,False,,S_160,S_160,1.0,,,sfx_scn_runaway,,2,void,,16,crazy,jackal,,18,surprise,
d_nikke_rosanna_chicocean_05_37,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_37,True,,S_160,S_180,1.0,,viper_s,,,2,void,,,,,,18,surprise,
d_nikke_rosanna_chicocean_05_38,d_nikke_rosanna_chicocean_05,Speech,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_38,True,,S_180,S_180,1.0,,viper_s,,,2,void,,,,,,18,surprise,
d_nikke_rosanna_chicocean_05_39,d_nikke_rosanna_chicocean_05,Narration,viper_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_05_39,False,,S_180,S_180,1.0,,,sfx_scn_runaway,,2,void,,,,,,18,surprise,viper_s
