id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_mica_snowbuddy_01_1,d_nikke_mica_snowbuddy_01,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_1,True,ToyShop,5,XS_50,1.0,none,,,,mica_w,3,idle,,belorta,5,idle
d_nikke_mica_snowbuddy_01_2,d_nikke_mica_snowbuddy_01,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_2,True,,XS_50,XS_50,1.0,bgm_story_orangepop,,,,,3,idle,,,5,idle
d_nikke_mica_snowbuddy_01_3,d_nikke_mica_snowbuddy_01,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_3,True,,XS_50,XS_50,1.0,,,,,,3,idle,,,5,idle
d_nikke_mica_snowbuddy_01_4,d_nikke_mica_snowbuddy_01,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_4,True,,XS_50,XS_50,1.0,,,,,,3,idle,,,5,idle
d_nikke_mica_snowbuddy_01_5,d_nikke_mica_snowbuddy_01,Speech,mica_w,mica_w,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_5,True,,3,S_30,1.0,,,,,,3,delight,,,5,idle
d_nikke_mica_snowbuddy_01_6,d_nikke_mica_snowbuddy_01,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_6,False,,15,150,1.0,,sfx_scn_poke,,,,3,delight,,,5,idle
d_nikke_mica_snowbuddy_01_7,d_nikke_mica_snowbuddy_01,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_7,False,,black,black,1.0,,,,,,3,delight,,,5,idle
d_nikke_mica_snowbuddy_01_8,d_nikke_mica_snowbuddy_01,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_8,False,,15,150,0.5,,sfx_scn_magicboxopen,,,,3,surprise,,,5,idle
d_nikke_mica_snowbuddy_01_9,d_nikke_mica_snowbuddy_01,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_9,False,,150,15,0.3,,sfx_scn_birthdaybomb,Low_2,,,3,surprise,,,5,idle
d_nikke_mica_snowbuddy_01_10,d_nikke_mica_snowbuddy_01,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_10,False,,15,15,1.0,,,,,,3,surprise,,,5,idle
d_nikke_mica_snowbuddy_01_11,d_nikke_mica_snowbuddy_01,Speech,mica_w,mica_w,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_01_11,False,,3,S_30,0.5,,,Low_2,,,3,surprise,,,5,delight
