id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,fade
d_nikke_ade_agentbunny_05_1,d_nikke_ade_agentbunny_05,Narration,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_1,False,MaidCafe,5,5,1.0,sfx_scn_chimebell,bgm_story_leisuretime,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_2,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_2,True,,5,XS_50,1.0,,,cocoa,cocoa,5,idle,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_3,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_3,True,,XS_50,XS_50,1.0,,,cocoa,,5,idle,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_4,d_nikke_ade_agentbunny_05,Self,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_4,False,,XS_50,XS_50,1.0,,,,,5,idle,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_5,d_nikke_ade_agentbunny_05,Monologue,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_5,False,,black,black,1.0,,,,,5,idle,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_6,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_6,True,,XS_50,XS_50,1.0,,,cocoa,,5,idle,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_7,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_7,True,,XS_50,XS_50,1.0,,,cocoa,,5,idle,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_8,d_nikke_ade_agentbunny_05,Choice,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_8,False,,XS_50,XS_50,1.0,,,,,5,idle,d_nikke_ade_agentbunny_05_10,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_9,d_nikke_ade_agentbunny_05,Choice,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_9,False,,XS_50,XS_50,1.0,,,,,5,idle,d_nikke_ade_agentbunny_05_12,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_10,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_10,True,,XS_50,XS_50,1.0,,,cocoa,,5,delight,,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_11,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_11,True,,XS_50,XS_50,1.0,,,cocoa,,5,delight,d_nikke_ade_agentbunny_05_13,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_12,d_nikke_ade_agentbunny_05,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_12,True,,XS_50,XS_50,1.0,,,cocoa,,5,idle,d_nikke_ade_agentbunny_05_13,,,,,,,,,,,,,,,,,,
d_nikke_ade_agentbunny_05_13,d_nikke_ade_agentbunny_05,Monologue,cocoa,Locale_NikkeEpisode:d_nikke_ade_agentbunny_05_13,False,,black,black,1.0,,,,,5,idle,,cocoa,,,,,,,,,,,,,,,,,
