id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_eunhwa_tactical_04_1,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_1,True,WasteLand_01,1,1,1.0,bgm_blurredvision_a,,,,,eunhwa_t,1,idle,
d_nikke_eunhwa_tactical_04_2,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_2,True,,1,1,1.0,,,,,,,1,idle,
d_nikke_eunhwa_tactical_04_3,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_3,True,,1,1,1.0,,,,,,,1,idle,
d_nikke_eunhwa_tactical_04_4,d_nikke_eunhwa_tactical_04,Self,eunhwa_t,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_4,False,,1,1,1.0,,,,,,,1,idle,
d_nikke_eunhwa_tactical_04_5,d_nikke_eunhwa_tactical_04,Monologue,eunhwa_t,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_5,False,WasteLand_03,1,10,1.0,,sfx_scn_aim,Vignetting,,,,1,idle,eunhwa_t
d_nikke_eunhwa_tactical_04_6,d_nikke_eunhwa_tactical_04,Monologue,eunhwa_t,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_6,False,,10,10,1.0,,,Vignetting,,,,,,
d_nikke_eunhwa_tactical_04_7,d_nikke_eunhwa_tactical_04,Self,eunhwa_t,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_7,False,,10,10,1.0,,,Vignetting,,,,,,
d_nikke_eunhwa_tactical_04_8,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t_op,eunhwa_t_op,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_8,True,,10,10,1.0,,,Vignetting,,,eunhwa_t_op,OP_leftup,idle,
d_nikke_eunhwa_tactical_04_9,d_nikke_eunhwa_tactical_04,Self,eunhwa_t_op,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_9,False,,10,10,1.0,,,Vignetting,,,,OP_leftup,idle,
d_nikke_eunhwa_tactical_04_10,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t_op,eunhwa_t_op,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_10,True,,10,10,1.0,,,Vignetting,,,,OP_leftup,idle,
d_nikke_eunhwa_tactical_04_11,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t_op,eunhwa_t_op,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_11,True,,10,10,1.0,,,Vignetting,,,,OP_leftup,idle,
d_nikke_eunhwa_tactical_04_12,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t_op,eunhwa_t_op,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_12,True,,10,10,1.0,,,Vignetting,,,,OP_leftup,idle,
d_nikke_eunhwa_tactical_04_13,d_nikke_eunhwa_tactical_04,Speech,eunhwa_t_op,eunhwa_t_op,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_13,True,,10,10,1.0,,,Vignetting,,,,OP_leftup,idle,
d_nikke_eunhwa_tactical_04_14,d_nikke_eunhwa_tactical_04,Self,eunhwa_t_op,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_04_14,False,,10,10,1.0,,,Vignetting,,,,OP_leftup,idle,
