id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_mihara_04_1,d_nikke_mihara_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_04_1,False,Backstreet,1,10,2.0,sfx_scn_walk,bgm_story_whosdumber,,,,,,,,,,,,,,,,,,
d_nikke_mihara_04_2,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_2,True,,10,10,1.0,,,mihara,mihara,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_3,d_nikke_mihara_04,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_04_3,False,,10,140,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_4,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_4,True,,140,140,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_5,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_5,True,,140,10,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_6,d_nikke_mihara_04,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_04_6,False,,10,10,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_7,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_7,True,,10,10,1.0,,,mihara,,1,shy,,,,,,,,,,,,,,
d_nikke_mihara_04_8,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_8,True,,10,10,1.0,,,mihara,,1,shy,,,,,,,,,,,,,,
d_nikke_mihara_04_9,d_nikke_mihara_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_04_9,True,,black,black,1.0,sfx_scn_chain,,mihara,,1,shy,,,,,,,,,,,,,,
d_nikke_mihara_04_10,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_10,True,,10,100,0.5,,,mihara,,1,shy,,,,,,,,,,,,,,
d_nikke_mihara_04_11,d_nikke_mihara_04,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_04_11,False,,100,100,1.0,,,mihara,,1,shy,,,,,,,,,,,,,,
d_nikke_mihara_04_12,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_12,True,,100,100,1.0,,,mihara,,1,shy,,,,,,,,,,,,,,
d_nikke_mihara_04_13,d_nikke_mihara_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_04_13,True,,black,black,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_14,d_nikke_mihara_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_04_14,True,,15,19,2.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_15,d_nikke_mihara_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_04_15,True,,19,190,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_16,d_nikke_mihara_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_mihara_04_16,True,,190,190,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_17,d_nikke_mihara_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_04_17,True,,black,black,1.0,sfx_scn_chain,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_18,d_nikke_mihara_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_04_18,True,,black,black,1.0,,,mihara,,1,idle,,,,,,,,,,,,,,
d_nikke_mihara_04_19,d_nikke_mihara_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_04_19,True,,black,black,1.0,sfx_scn_chain,,mihara,,1,idle,poli,13,angry,miranda,15,idle,,,,,,,,
d_nikke_mihara_04_20,d_nikke_mihara_04,Speech,poli,Locale_NikkeEpisode:d_nikke_mihara_04_20,True,,13,S_130,0.5,,,poli,,1,idle,,13,angry,,15,idle,,,,,,,,
d_nikke_mihara_04_21,d_nikke_mihara_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_mihara_04_21,True,,S_130,S_130,1.0,,,miranda,,1,idle,,13,angry,,15,idle,,,,,,,,
d_nikke_mihara_04_22,d_nikke_mihara_04,Self,Self,Locale_NikkeEpisode:d_nikke_mihara_04_22,False,,6001,6001,1.0,,,miranda,,1,shy,,13,angry,,15,idle,,,,,,,,
d_nikke_mihara_04_23,d_nikke_mihara_04,Speech,mihara,Locale_NikkeEpisode:d_nikke_mihara_04_23,False,,6001,6001,1.0,,,mihara,,1,shy,,13,angry,,15,idle,,,,,,,,
