id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/hide_char_id,set_filter_01,set_filter_02
d_nikke_neve_02_1,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_1,True,alice,5,delight,ludmilla,3,idle,neve,1,idle,Drain,1,1,1.0,bgm_story_girlstalk,,,,,,,
d_nikke_neve_02_2,d_nikke_neve_02,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_neve_02_2,True,,5,delight,,3,idle,,1,idle,,5,5,1.0,,,,,,,,
d_nikke_neve_02_3,d_nikke_neve_02,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_neve_02_3,True,,5,delight,,3,idle,,1,idle,,5,5,1.0,,,,,,,,
d_nikke_neve_02_4,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_4,True,,5,delight,,3,idle,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_neve_02_5,d_nikke_neve_02,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_02_5,True,,5,idle,,3,idle,,1,idle,,1,31,1.0,,,,,,,,
d_nikke_neve_02_6,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_6,True,,5,idle,,3,idle,,1,idle,,31,31,1.0,,,,,,,,
d_nikke_neve_02_7,d_nikke_neve_02,Self,neve,,Locale_NikkeEpisode:d_nikke_neve_02_7,False,,5,idle,,3,idle,,1,idle,,31,31,1.0,,,,,,,,
d_nikke_neve_02_8,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_8,True,,5,idle,,3,idle,,1,idle,,31,31,1.0,,,,,,,,
d_nikke_neve_02_9,d_nikke_neve_02,Choice,neve,,Locale_NikkeEpisode:d_nikke_neve_02_9,False,,5,idle,,3,idle,,1,idle,,31,31,1.0,,d_nikke_neve_02_11,,,,,,
d_nikke_neve_02_10,d_nikke_neve_02,Choice,neve,,Locale_NikkeEpisode:d_nikke_neve_02_10,False,,5,idle,,3,idle,,1,idle,,31,31,1.0,,d_nikke_neve_02_13,,,,,,
d_nikke_neve_02_11,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_11,True,,5,delight,,3,idle,,1,idle,,31,53,1.0,,,,,,,,
d_nikke_neve_02_12,d_nikke_neve_02,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_02_12,True,,5,delight,,3,idle,,1,idle,,53,53,1.0,,d_nikke_neve_02_15,,,,,,
d_nikke_neve_02_13,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_13,True,,5,delight,,3,idle,,1,idle,,31,31,1.0,,,,,,,,
d_nikke_neve_02_14,d_nikke_neve_02,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_neve_02_14,True,,5,delight,,3,idle,,1,idle,,31,53,1.0,,d_nikke_neve_02_15,,,,,,
d_nikke_neve_02_15,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_15,True,,5,delight,,3,idle,,1,idle,,53,1,1.0,,,,,,,,
d_nikke_neve_02_16,d_nikke_neve_02,Self,neve,,Locale_NikkeEpisode:d_nikke_neve_02_16,False,,5,idle,,3,idle,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_neve_02_17,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_17,True,,5,idle,,3,idle,,1,idle,,1,10,1.0,,,,,,,,
d_nikke_neve_02_18,d_nikke_neve_02,Self,neve,,Locale_NikkeEpisode:d_nikke_neve_02_18,False,,5,idle,,3,idle,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_neve_02_19,d_nikke_neve_02,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_neve_02_19,True,,5,idle,,3,idle,,1,shy,,10,10,1.0,,,,,,,,
