id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_zwei_02_1,d_nikke_zwei_02,Narration,Locale_NikkeEpisode:d_nikke_zwei_02_1,False,Corridor,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,
d_nikke_zwei_02_2,d_nikke_zwei_02,Monologue,Locale_NikkeEpisode:d_nikke_zwei_02_2,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_zwei_02_3,d_nikke_zwei_02,Monologue,Locale_NikkeEpisode:d_nikke_zwei_02_3,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_zwei_02_4,d_nikke_zwei_02,Speech,Locale_NikkeEpisode:d_nikke_zwei_02_4,True,,13,13,1.0,,zwei,zwei,zwei,13,shy,,,,,,,
d_nikke_zwei_02_5,d_nikke_zwei_02,Self,Locale_NikkeEpisode:d_nikke_zwei_02_5,False,,13,13,1.0,,zwei,,,13,shy,,,,,,,
d_nikke_zwei_02_6,d_nikke_zwei_02,Self,Locale_NikkeEpisode:d_nikke_zwei_02_6,False,,13,13,1.0,,zwei,,,13,shy,,,,,,,
d_nikke_zwei_02_7,d_nikke_zwei_02,Speech,Locale_NikkeEpisode:d_nikke_zwei_02_7,True,,13,130,1.0,,zwei,zwei,,13,surprise,,,,,,,
d_nikke_zwei_02_8,d_nikke_zwei_02,Speech,Locale_NikkeEpisode:d_nikke_zwei_02_8,True,,130,130,1.0,,zwei,zwei,,13,surprise,,,,,,,
d_nikke_zwei_02_9,d_nikke_zwei_02,Speech,Locale_NikkeEpisode:d_nikke_zwei_02_9,True,,130,130,1.0,,zwei,zwei,,13,surprise,,,,,,,
d_nikke_zwei_02_10,d_nikke_zwei_02,Speech,Locale_NikkeEpisode:d_nikke_zwei_02_10,True,,130,130,1.0,,zwei,zwei,,13,shy,,,,,,,
