id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_nikke_c_1_04_1,d_nikke_c_1_04,Monologue,Locale_NikkeEpisode:d_nikke_c_1_04_1,False,yulha,13,idle,Park,13,13,1.0,bgm_story_sundayintheark,,,,,,,,,
d_nikke_c_1_04_2,d_nikke_c_1_04,Monologue,Locale_NikkeEpisode:d_nikke_c_1_04_2,False,,13,idle,,13,13,1.0,,,,,,,,,,
d_nikke_c_1_04_3,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_3,True,,13,idle,,13,L_130,1.0,,yulha,yulha,,,,,,,
d_nikke_c_1_04_4,d_nikke_c_1_04,Self,Locale_NikkeEpisode:d_nikke_c_1_04_4,False,,13,idle,,L_130,L_130,1.0,,yulha,,,,,,,,
d_nikke_c_1_04_5,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_5,True,,13,angry,,L_130,L_130,1.0,,yulha,yulha,,,,,,,
d_nikke_c_1_04_6,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_6,True,,13,angry,,L_130,L_130,1.0,,yulha,yulha,,,,,,,
d_nikke_c_1_04_7,d_nikke_c_1_04,Self,Locale_NikkeEpisode:d_nikke_c_1_04_7,False,,13,angry,,L_130,L_130,1.0,,yulha,,,,,,,,
d_nikke_c_1_04_8,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_8,True,,13,idle,,L_130,L_130,1.0,,yulha,yulha,,,,,,,
d_nikke_c_1_04_9,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_9,True,,13,idle,,L_130,L_130,1.0,,yulha,yulha,,,,,,,
d_nikke_c_1_04_10,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_10,True,,13,idle,,L_130,L_1300,1.0,,yulha,yulha,,,,,,,
d_nikke_c_1_04_11,d_nikke_c_1_04,Self,Locale_NikkeEpisode:d_nikke_c_1_04_11,False,,13,idle,,L_1300,L_1300,1.0,,yulha,,,,,,,,
d_nikke_c_1_04_12,d_nikke_c_1_04,Monologue,Locale_NikkeEpisode:d_nikke_c_1_04_12,False,,13,idle,,L_1300,L_1300,1.0,,yulha,,,,,,,,
d_nikke_c_1_04_13,d_nikke_c_1_04,Speech,Locale_NikkeEpisode:d_nikke_c_1_04_13,True,,13,idle,,L_1300,L_1300,1.0,,yulha,yulha,,,,,,,
