id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_noir_03_1,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_1,True,Gym,1,1,1.0,bgm_story_orangepop,,,noir,1,idle,
d_nikke_noir_03_2,d_nikke_noir_03,Monologue,noir,,Locale_NikkeEpisode:d_nikke_noir_03_2,False,,1,1,1.0,,,,,1,idle,
d_nikke_noir_03_3,d_nikke_noir_03,Monologue,noir,,Locale_NikkeEpisode:d_nikke_noir_03_3,False,,1,1,1.0,,,,,1,idle,
d_nikke_noir_03_4,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_4,True,,1,1,1.0,,,,,1,idle,
d_nikke_noir_03_5,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_5,True,,1,1,1.0,,,,,1,idle,
d_nikke_noir_03_6,d_nikke_noir_03,Monologue,noir,,Locale_NikkeEpisode:d_nikke_noir_03_6,False,,1,1,1.0,,,,,1,idle,
d_nikke_noir_03_7,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_7,True,,1,S_10,1.0,,,,,1,idle,
d_nikke_noir_03_8,d_nikke_noir_03,Monologue,noir,,Locale_NikkeEpisode:d_nikke_noir_03_8,False,,S_10,noirthigh_01,1.0,,,,,1,idle,
d_nikke_noir_03_9,d_nikke_noir_03,Monologue,noir,,Locale_NikkeEpisode:d_nikke_noir_03_9,False,,noirthigh_01,noirthigh_01,1.0,,,,,1,idle,
d_nikke_noir_03_10,d_nikke_noir_03,Self,noir,,Locale_NikkeEpisode:d_nikke_noir_03_10,False,,noirthigh_01,noirthigh_01,1.0,,,,,1,idle,
d_nikke_noir_03_11,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_11,True,,noirthigh_01,L_10,1.5,,,,,1,idle,
d_nikke_noir_03_12,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_12,True,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_noir_03_13,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_13,True,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_noir_03_14,d_nikke_noir_03,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_03_14,True,,L_10,L_10,1.0,,,,,1,idle,
