id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_ein_01_1,d_nikke_ein_01,Narration,marciana,Locale_NikkeEpisode:d_nikke_ein_01_1,False,marciana,1,idle,Classroom_e,10,10,1.0,sfx_scn_schoolbell,none,,,,,,,,,,,,,
d_nikke_ein_01_2,d_nikke_ein_01,Speech,marciana,Locale_NikkeEpisode:d_nikke_ein_01_2,True,,1,idle,,10,10,1.0,,bgm_story_orangepop,marciana,,,,,,,,,,,,
d_nikke_ein_01_3,d_nikke_ein_01,Speech,marciana,Locale_NikkeEpisode:d_nikke_ein_01_3,True,,1,idle,,10,100,1.0,,,marciana,,,,,,,,,,,,
d_nikke_ein_01_4,d_nikke_ein_01,Speech,marciana,Locale_NikkeEpisode:d_nikke_ein_01_4,True,,1,idle,,100,100,1.0,,,marciana,,,,,,,,,,,,
d_nikke_ein_01_5,d_nikke_ein_01,Narration,marciana,Locale_NikkeEpisode:d_nikke_ein_01_5,False,,1,idle,,100,1,1.0,sfx_scn_slidingdoor,,,marciana,,,,,,,,,,,
d_nikke_ein_01_6,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_6,True,,,,,1,10,1.0,,,ein,,ein,1,surprise,zwei,15,idle,rei,13,idle,,
d_nikke_ein_01_7,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_7,True,,,,,10,10,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_8,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_8,True,,,,,10,10,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_9,d_nikke_ein_01,Speech,rei,Locale_NikkeEpisode:d_nikke_ein_01_9,True,,,,,10,14,1.0,,,rei,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_10,d_nikke_ein_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ein_01_10,True,,,,,14,14,1.0,,,zwei,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_11,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_11,True,,,,,14,12,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_12,d_nikke_ein_01,Speech,rei,Locale_NikkeEpisode:d_nikke_ein_01_12,True,,,,,12,14,1.0,,,rei,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_13,d_nikke_ein_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ein_01_13,True,,,,,14,14,1.0,,,zwei,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_14,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_14,True,,,,,14,10,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_15,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_15,True,,,,,10,10,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_16,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_16,True,,,,,10,10,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_17,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_17,True,,,,,10,10,1.0,,,ein,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_18,d_nikke_ein_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ein_01_18,True,,,,,150,150,1.0,,,zwei,,,1,idle,,15,idle,,13,idle,,
d_nikke_ein_01_19,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_19,True,,,,,10,10,1.0,,,ein,,,1,surprise,,15,idle,,13,idle,,
d_nikke_ein_01_20,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_20,True,,,,,10,10,1.0,,,ein,,,1,surprise,,15,idle,,13,idle,,
d_nikke_ein_01_21,d_nikke_ein_01,Speech,rei,Locale_NikkeEpisode:d_nikke_ein_01_21,True,,,,,10,12,1.0,,,rei,,,1,surprise,,15,idle,,13,delight,,
d_nikke_ein_01_22,d_nikke_ein_01,Speech,rei,Locale_NikkeEpisode:d_nikke_ein_01_22,True,,,,,12,12,1.0,,,rei,,,1,surprise,,15,idle,,13,idle,,
d_nikke_ein_01_23,d_nikke_ein_01,Speech,rei,Locale_NikkeEpisode:d_nikke_ein_01_23,True,,,,,12,12,1.0,,,rei,,,1,surprise,,15,idle,,13,delight,,
d_nikke_ein_01_24,d_nikke_ein_01,Speech,ein,Locale_NikkeEpisode:d_nikke_ein_01_24,True,,,,,12,12,1.0,,,ein,,,1,delight,,15,idle,,13,delight,,
