id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_biscuit_01_1,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_1,True,biscuit,1,idle,CommanderRoom,XS_10,XS_10,1.0,bgm_story_orangepop,,,,,,,
d_nikke_biscuit_01_2,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_2,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_3,d_nikke_biscuit_01,Choice,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_3,False,,1,idle,,XS_10,XS_10,1.0,,d_nikke_biscuit_01_5,,,,,,
d_nikke_biscuit_01_4,d_nikke_biscuit_01,Choice,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_4,False,,1,idle,,XS_10,XS_10,1.0,,d_nikke_biscuit_01_6,,,,,,
d_nikke_biscuit_01_5,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_5,True,,1,delight,,XS_10,XS_10,1.0,,d_nikke_biscuit_01_8,,,,,,
d_nikke_biscuit_01_6,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_6,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_7,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_7,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_8,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_8,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_9,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_9,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_10,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_10,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_11,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_11,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_12,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_12,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_13,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_13,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_14,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_14,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_15,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_15,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_16,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_16,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_17,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_17,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_18,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_18,True,,1,delight,,XS_10,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_19,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_19,True,,1,delight,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_20,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_20,True,,1,delight,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_21,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_21,True,,1,idle,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_22,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_22,True,,1,idle,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_23,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_23,True,,1,delight,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_24,d_nikke_biscuit_01,Choice,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_24,False,,1,delight,,XS_100,XS_100,1.0,,d_nikke_biscuit_01_26,,,,,,
d_nikke_biscuit_01_25,d_nikke_biscuit_01,Choice,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_25,False,,1,delight,,XS_100,XS_100,1.0,,d_nikke_biscuit_01_26,,,,,,
d_nikke_biscuit_01_26,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_26,True,,1,delight,,XS_100,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_27,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_27,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_28,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_28,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_29,d_nikke_biscuit_01,Narration,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_29,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_30,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_30,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_31,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_31,True,,1,idle,RoyalRoad,XS_10,XS_10,1.0,,,black,,,,,
d_nikke_biscuit_01_32,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_32,True,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_33,d_nikke_biscuit_01,Narration,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_33,False,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_34,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_34,False,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_35,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_35,True,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_36,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_36,True,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_37,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_37,False,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_38,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_38,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_39,d_nikke_biscuit_01,Narration,,,Locale_NikkeEpisode:d_nikke_biscuit_01_39,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_biscuit_01_41,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_41,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_42,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_42,True,,1,sad,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_43,d_nikke_biscuit_01,Self,biscuit,,Locale_NikkeEpisode:d_nikke_biscuit_01_43,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_biscuit_01_44,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_44,True,,1,delight,,XS_10,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_45,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_45,True,,1,delight,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_biscuit_01_46,d_nikke_biscuit_01,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_01_46,True,,1,delight,,XS_100,XS_100,1.0,,,,,,,,
