id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_sugar_03_1,d_nikke_sugar_03,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_03_1,False,OuterRim,113,113,1.0,none,,,,,sugar,1,idle,,massproduction01,13,idle,
d_nikke_sugar_03_2,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_2,True,,113,1300,1.0,bgm_distress,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_3,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_3,True,,1300,130,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_4,d_nikke_sugar_03,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_03_4,True,,130,S_10,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_5,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_5,True,,S_10,113,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_6,d_nikke_sugar_03,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_03_6,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_7,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_7,False,,113,113,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_8,d_nikke_sugar_03,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_03_8,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_9,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_9,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_10,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_10,True,,113,13,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_11,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_11,True,,13,130,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_12,d_nikke_sugar_03,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_03_12,True,,S_10,S_10,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_13,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_13,True,,130,130,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_14,d_nikke_sugar_03,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_03_14,True,,S_10,S_10,1.0,,,,,,,1,idle,,,13,idle,
d_nikke_sugar_03_15,d_nikke_sugar_03,Speech,massproduction01,massproduction01,Locale_NikkeEpisode:d_nikke_sugar_03_15,False,,S_10,130,1.0,none,,,,,,1,idle,,,13,idle,
