id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_tove_02_1,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_tuffguys,,tove,1,sad
treasurestory_tove_02_2,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_2,False,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_3,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_3,False,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_4,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_4,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_5,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_5,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_6,treasurestory_tove_02,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_02_6,False,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_7,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_7,False,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_8,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_8,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_9,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_9,True,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_10,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_10,False,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_11,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_11,True,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_12,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_12,True,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_13,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_13,True,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_14,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_14,False,,S_10,S_10,1.0,,,,1,sad
treasurestory_tove_02_15,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_15,True,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_16,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_16,True,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_17,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_17,True,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_18,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_18,True,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_19,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_19,True,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_20,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_20,True,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_21,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_21,False,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_22,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_22,False,,S_10,S_10,1.0,,,,1,think
treasurestory_tove_02_23,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_23,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_24,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_24,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_25,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_25,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_26,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_26,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_27,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_27,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_28,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_28,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_29,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_29,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_30,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_30,True,,S_10,S_10,1.0,,,,1,idle
treasurestory_tove_02_31,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_31,True,,S_10,S_100,1.3,,,,1,sad
treasurestory_tove_02_32,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_32,False,,S_100,S_100,1.0,,,,1,sad
treasurestory_tove_02_33,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_33,True,,S_100,S_100,1.0,,,,1,sad
treasurestory_tove_02_34,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_34,True,,S_100,S_100,1.0,,,,1,sad
treasurestory_tove_02_35,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_35,True,,S_100,S_100,1.0,,,,1,special
treasurestory_tove_02_36,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_36,True,,S_100,S_100,1.0,,,,1,special
treasurestory_tove_02_37,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_37,True,,S_100,S_100,1.0,,,,1,special
treasurestory_tove_02_38,treasurestory_tove_02,Choice,tove,,Locale_NikkeEpisode:treasurestory_tove_02_38,False,,S_100,S_100,1.0,,treasurestory_tove_02_40,,1,special
treasurestory_tove_02_39,treasurestory_tove_02,Choice,tove,,Locale_NikkeEpisode:treasurestory_tove_02_39,False,,S_100,S_100,1.0,,treasurestory_tove_02_41,,1,special
treasurestory_tove_02_40,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_40,True,,S_100,S_100,1.0,,treasurestory_tove_02_42,,1,delight
treasurestory_tove_02_41,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_41,True,,S_100,S_100,1.0,,treasurestory_tove_02_42,,1,sad
treasurestory_tove_02_42,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_42,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_43,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_43,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_44,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_44,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_45,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_45,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_46,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_46,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_47,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_47,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_48,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_48,True,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_49,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_49,False,,S_100,S_100,1.0,,,,1,idle
treasurestory_tove_02_50,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_50,True,,S_100,S_100,1.0,,,,1,think
treasurestory_tove_02_51,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_51,False,,S_100,S_100,1.0,,,,1,think
treasurestory_tove_02_52,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_52,True,,S_100,S_100,1.0,,,,1,think
treasurestory_tove_02_53,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_53,True,,S_100,S_100,1.0,,,,1,think
treasurestory_tove_02_54,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_54,True,,S_100,S_100,1.0,,,,1,think
treasurestory_tove_02_55,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_55,True,,S_100,S_10,1.3,,,,1,special
treasurestory_tove_02_56,treasurestory_tove_02,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_02_56,True,,S_10,S_10,1.0,,,,1,special
treasurestory_tove_02_57,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_57,False,,S_10,S_10,1.0,,,,1,special
treasurestory_tove_02_58,treasurestory_tove_02,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_02_58,False,,S_10,S_10,1.0,,,,1,special
