id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id
d_nikke_ade_01_1,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_1,False,Park,1,1,1.0,bgm_story_sundayintheark,,,,,,,,,,,,,
d_nikke_ade_01_2,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_2,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_ade_01_3,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_3,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_ade_01_4,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_4,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_ade_01_5,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_5,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_ade_01_6,d_nikke_ade_01,Narration,Locale_NikkeEpisode:d_nikke_ade_01_6,False,MaidCafe,black,black,1.0,,cocoa,1,surprised,sfx_scn_toyshopbell,,,,,,,,,
d_nikke_ade_01_7,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_7,True,,1,1,1.0,,,1,surprised,,cocoa,cocoa,,,,,,,
d_nikke_ade_01_8,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_8,True,,1,XS_10,1.0,,,1,surprised,,cocoa,cocoa,,,,,,,
d_nikke_ade_01_9,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_9,False,,XS_10,XS_10,1.0,,,1,surprised,,cocoa,,,,,,,,
d_nikke_ade_01_10,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_10,True,,XS_10,XS_10,1.0,,,1,idle,,cocoa,cocoa,,,,,,,
d_nikke_ade_01_11,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_11,True,,XS_10,XS_10,1.0,,,1,idle,,cocoa,cocoa,,,,,,,
d_nikke_ade_01_12,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_12,True,,XS_10,XS_10,1.0,,,1,idle,,cocoa,cocoa,,,,,,,
d_nikke_ade_01_13,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_13,False,,XS_10,1,1.0,,,1,idle,,cocoa,,,,,,,,
d_nikke_ade_01_14,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_14,False,,1,14,1.0,,,1,idle,,,,,,,,,,
d_nikke_ade_01_15,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_15,True,,14,14,1.0,,,1,idle,,soda,soda,ade,13,delight,soda,15,idle,
d_nikke_ade_01_16,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_16,True,,14,14,1.0,,,1,idle,,ade,ade,,13,delight,,15,idle,
d_nikke_ade_01_17,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_17,True,,1,1,1.0,,,1,idle,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_18,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_18,False,,1,12,1.0,,,1,idle,,cocoa,,,13,idle,,15,idle,
d_nikke_ade_01_19,d_nikke_ade_01,Narration,Locale_NikkeEpisode:d_nikke_ade_01_19,False,,12,12,1.0,,,1,idle,sfx_scn_handtouch,ade,,,13,idle,,15,idle,
d_nikke_ade_01_20,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_20,False,,12,12,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_21,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_21,False,,12,12,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_22,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_22,True,,12,12,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
d_nikke_ade_01_23,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_23,True,,12,12,1.0,,,1,idle,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_24,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_24,True,,12,12,1.0,,,1,delight,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_25,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_25,False,,12,12,1.0,,,1,delight,,cocoa,,,13,idle,,15,idle,
d_nikke_ade_01_26,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_26,True,,12,12,1.0,,,1,delight,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_27,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_27,True,,12,12,1.0,,,1,delight,,ade,ade,,13,delight,,15,idle,
d_nikke_ade_01_28,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_28,False,,12,1,1.0,,,1,delight,,ade,,,13,delight,,15,idle,ade
d_nikke_ade_01_29,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_29,False,,1,1,1.0,,,1,delight,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_30,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_30,True,,1,XS_10,1.0,,,1,serious,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_31,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_31,True,,XS_10,XS_10,1.0,,,1,serious,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_32,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_32,True,,XS_10,XS_10,1.0,,,1,serious,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_33,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_33,True,,XS_10,XS_10,1.0,,,1,serious,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_34,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_34,False,,XS_10,XS_10,1.0,,,1,serious,,cocoa,,,13,idle,,15,idle,
d_nikke_ade_01_35,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_35,True,,XS_10,XS_10,1.0,,,1,idle,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_36,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_36,True,,XS_10,XS_10,1.0,,,1,idle,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_37,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_37,True,,15,15,1.0,,,1,idle,,soda,soda,,13,idle,,15,think,
d_nikke_ade_01_38,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_38,False,,15,13,1.0,,,1,idle,,soda,,,13,idle,,15,think,
d_nikke_ade_01_39,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_39,False,,13,13,1.0,,,1,idle,,ade,,ade,13,idle,,15,think,
d_nikke_ade_01_40,d_nikke_ade_01,Narration,Locale_NikkeEpisode:d_nikke_ade_01_40,False,,13,13,1.0,,,1,idle,sfx_scn_putdown,ade,,,13,idle,,15,idle,
d_nikke_ade_01_41,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_41,True,,13,130,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
d_nikke_ade_01_42,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_42,False,,130,130,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_43,d_nikke_ade_01,Narration,Locale_NikkeEpisode:d_nikke_ade_01_43,False,,130,130,1.0,,,1,idle,sfx_scn_pour_water,ade,,,13,idle,,15,idle,
d_nikke_ade_01_44,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_44,True,,130,130,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
d_nikke_ade_01_45,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_45,True,,130,130,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
d_nikke_ade_01_46,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_46,False,,130,13,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_47,d_nikke_ade_01,Narration,Locale_NikkeEpisode:d_nikke_ade_01_47,False,,13,13,1.0,,,1,idle,sfx_scn_slurp,ade,,,13,idle,,15,idle,
d_nikke_ade_01_48,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_48,False,,13,13,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_49,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_49,False,,13,13,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_50,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_50,False,,13,13,1.0,,,1,idle,sfx_scn_swallow,ade,,,13,idle,,15,idle,
d_nikke_ade_01_51,d_nikke_ade_01,Monologue,Locale_NikkeEpisode:d_nikke_ade_01_51,False,,13,130,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_52,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_52,False,,130,130,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_53,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_53,True,,130,130,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
d_nikke_ade_01_54,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_54,True,,130,130,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
d_nikke_ade_01_55,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_55,False,,130,130,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_56,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_56,False,,130,130,1.0,,,1,idle,,ade,,,13,idle,,15,idle,
d_nikke_ade_01_57,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_57,True,,XS_10,XS_10,1.0,,,1,delight,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_58,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_58,True,,XS_10,XS_10,1.0,,,1,delight,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_59,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_59,True,,XS_10,XS_10,1.0,,,1,delight,,cocoa,cocoa,,13,idle,,15,idle,
d_nikke_ade_01_60,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_60,True,,15,15,1.0,,,1,delight,,soda,soda,,13,idle,,15,idle,
d_nikke_ade_01_61,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_61,True,,15,15,1.0,,,1,delight,,soda,soda,,13,idle,,15,idle,
d_nikke_ade_01_62,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_62,False,,15,15,1.0,,,1,delight,,soda,,,13,idle,,15,idle,
d_nikke_ade_01_63,d_nikke_ade_01,Self,Locale_NikkeEpisode:d_nikke_ade_01_63,False,,15,13,1.0,,,1,delight,,soda,,,13,idle,,15,idle,
d_nikke_ade_01_64,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_64,True,,13,13,1.0,,,1,delight,,ade,ade,,13,worried,,15,idle,
d_nikke_ade_01_65,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_65,True,,13,13,1.0,,,1,idle,,ade,ade,,13,worried,,15,idle,
d_nikke_ade_01_66,d_nikke_ade_01,Speech,Locale_NikkeEpisode:d_nikke_ade_01_66,True,,13,13,1.0,,,1,idle,,ade,ade,,13,idle,,15,idle,
