id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,jump_target
d_nikke_naga_05_1,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_1,False,naga,1,worry,Classroom_n,10,10,1.0,none,,,,,,
d_nikke_naga_05_2,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_2,True,,1,worry,,10,2,1.0,,tia,3,idle,,,
d_nikke_naga_05_3,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_3,True,,1,worry,,2,2,1.0,,,3,idle,,,
d_nikke_naga_05_4,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_4,True,,1,worry,,2,2,1.0,,,3,idle,,,
d_nikke_naga_05_5,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_5,True,,1,worry,,2,2,1.0,,,3,sad,,,
d_nikke_naga_05_6,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_6,True,,1,worry,,2,2,1.0,,,3,sad,,,
d_nikke_naga_05_7,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_7,False,,1,worry,,2,10,1.0,,,3,sad,,,
d_nikke_naga_05_8,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_8,True,,1,worry,,10,10,1.0,,,3,sad,,,
d_nikke_naga_05_9,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_9,True,,1,worry,,10,10,1.0,,,3,sad,,,
d_nikke_naga_05_10,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_10,True,,1,worry,,10,10,1.0,,,3,sad,,,
d_nikke_naga_05_11,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_11,True,,1,worry,,10,30,1.0,,,3,idle,,,
d_nikke_naga_05_12,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_12,True,,1,worry,,30,30,1.0,,,3,idle,,,
d_nikke_naga_05_13,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_13,True,,1,worry,,30,30,1.0,,,3,idle,,,
d_nikke_naga_05_14,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_14,True,,1,worry,,30,30,1.0,,,3,idle,,,
d_nikke_naga_05_15,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_15,True,,1,worry,,30,2,1.0,,,3,idle,,,
d_nikke_naga_05_16,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_16,True,,1,worry,,2,2,1.0,,,3,delight,,,
d_nikke_naga_05_17,d_nikke_naga_05,Narration,,,Locale_NikkeEpisode:d_nikke_naga_05_17,False,,1,worry,,2,30,1.0,bgm_story_sunshinesorrow,,3,delight,,,
d_nikke_naga_05_18,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_18,True,,1,worry,,30,30,1.0,,,3,delight,,,
d_nikke_naga_05_19,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_19,True,,1,worry,,30,30,1.0,,,3,delight,,,
d_nikke_naga_05_20,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_20,True,,1,worry,,30,30,1.0,,,3,delight,,,
d_nikke_naga_05_21,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_21,True,,1,worry,,30,2,1.0,,,3,delight,,,
d_nikke_naga_05_22,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_22,True,,1,worry,,2,2,1.0,,,3,idle,,,
d_nikke_naga_05_23,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_23,True,,1,worry,,2,2,1.0,,,3,idle,,,
d_nikke_naga_05_24,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_24,True,,1,worry,,2,2,1.0,,,3,idle,,,
d_nikke_naga_05_25,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_25,True,,1,worry,,2,30,1.0,,,3,idle,,,
d_nikke_naga_05_26,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_26,True,,1,worry,,30,30,1.0,,,3,idle,,,
d_nikke_naga_05_27,d_nikke_naga_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_naga_05_27,True,,1,worry,,30,30,1.0,,,3,idle,,,
d_nikke_naga_05_28,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_28,True,,1,worry,,30,10,1.0,,,3,idle,,,
d_nikke_naga_05_29,d_nikke_naga_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_naga_05_29,True,,1,worry,,10,10,1.0,,,3,idle,,,
