id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,speaker,jump_target
d_nikke_arcana_05_1,d_nikke_arcana_05,Narration,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_1,False,CommanderRoom,1,1,1.0,none,,,,,,
d_nikke_arcana_05_2,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_2,False,,1,1,1.0,,,,,,,
d_nikke_arcana_05_3,d_nikke_arcana_05,Narration,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_3,False,,1,L_10,1.3,,arcana,1,idle,sfx_scn_autodooropen,,
d_nikke_arcana_05_4,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_4,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_5,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_5,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_6,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_6,True,,L_10,L_10,1.0,bgm_intotheswarm,,1,angry,,arcana,
d_nikke_arcana_05_7,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_7,True,,L_10,L_10,1.0,,,1,angry,,arcana,
d_nikke_arcana_05_8,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_8,False,,L_10,L_10,1.0,,,1,angry,,,
d_nikke_arcana_05_9,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_9,False,,L_10,L_10,1.0,,,1,angry,,,
d_nikke_arcana_05_10,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_10,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_11,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_11,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_12,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_12,True,,L_10,L_10,1.0,,,1,delight,,arcana,
d_nikke_arcana_05_13,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_13,False,,L_10,L_10,1.0,,,1,delight,,,
d_nikke_arcana_05_14,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_14,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_15,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_15,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_16,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_16,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_17,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_17,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_18,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_18,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_19,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_19,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_20,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_20,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_21,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_21,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_22,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_22,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_23,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_23,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_24,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_24,True,,L_10,L_10,1.0,,,1,surprise,,arcana,
d_nikke_arcana_05_25,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_25,False,,L_10,L_10,1.0,,,1,surprise,,,
d_nikke_arcana_05_26,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_26,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_27,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_27,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_28,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_28,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_29,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_29,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_30,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_30,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_31,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_31,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_32,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_32,False,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_33,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_33,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_34,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_34,False,,L_10,L_10,1.0,,,1,think,,,
d_nikke_arcana_05_35,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_35,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_36,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_36,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_37,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_37,False,,L_10,L_10,1.0,,,1,think,,,
d_nikke_arcana_05_38,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_38,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_39,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_39,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_40,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_40,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_41,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_41,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_42,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_42,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_43,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_43,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_44,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_44,True,,L_10,L_10,1.0,,,1,think,,arcana,
d_nikke_arcana_05_45,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_45,False,,L_10,L_10,1.0,,,1,think,,,
d_nikke_arcana_05_46,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_46,True,,L_10,L_10,1.0,,,1,smile,,arcana,
d_nikke_arcana_05_47,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_47,False,,L_10,L_100,1.3,,,1,smile,,,
d_nikke_arcana_05_48,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_48,True,,L_100,L_100,1.0,,,1,smile,,arcana,
d_nikke_arcana_05_49,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_49,False,,L_100,L_100,1.0,,,1,smile,,,
d_nikke_arcana_05_50,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_50,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_51,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_51,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_52,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_52,False,,L_100,L_100,1.0,,,1,idle,,,
d_nikke_arcana_05_53,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_53,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_54,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_54,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_55,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_55,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_56,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_56,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_57,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_57,False,,L_100,L_100,1.0,,,1,idle,,,
d_nikke_arcana_05_58,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_58,True,,L_100,L_100,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_59,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_59,False,,black,black,1.0,,,1,idle,sfx_scn_carddraw,,
d_nikke_arcana_05_60,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_60,True,,L_100,L_10,1.3,,,1,idle,,arcana,
d_nikke_arcana_05_61,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_61,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_62,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_62,False,,black,black,1.0,,,1,idle,,,
d_nikke_arcana_05_63,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_63,True,,L_10,L_10,1.0,,,1,idle,,arcana,
d_nikke_arcana_05_64,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_64,False,,L_10,L_10,1.0,,,1,idle,,,
d_nikke_arcana_05_65,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_65,True,,L_10,L_100,1.3,none,,1,think,,arcana,
d_nikke_arcana_05_66,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_66,False,,black,black,1.0,,,1,think,,,
d_nikke_arcana_05_67,d_nikke_arcana_05,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_67,False,,black,black,1.0,,,1,think,sfx_scn_grab,,
d_nikke_arcana_05_68,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_68,True,,L_100,L_100,1.0,bgm_story_sceneofmemory,,1,think,,arcana,
d_nikke_arcana_05_69,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_69,True,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_70,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_70,True,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_71,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_71,False,,L_100,L_100,1.0,,,1,think,,,
d_nikke_arcana_05_72,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_72,False,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_73,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_73,True,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_74,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_74,True,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_75,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_75,False,,L_100,L_100,1.0,,,1,think,,,
d_nikke_arcana_05_76,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_76,False,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_77,d_nikke_arcana_05,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_77,True,,L_100,L_100,1.0,,,1,think,,arcana,
d_nikke_arcana_05_78,d_nikke_arcana_05,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_05_78,False,,L_100,L_100,1.0,,,1,think,,,
