id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,play_sound,set_camera_shake,characters/0/hide_char_id,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_isabel_05_1,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_1,True,isabel,1,surprise,Desert_01,1,1,1.0,bgm_story_weare,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_2,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_2,False,,1,surprise,,1,1,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_3,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_3,True,,1,surprise,,1,1,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_4,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_4,True,,1,surprise,,1,1,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_5,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_5,False,,1,surprise,,1,1,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_6,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_6,False,,1,surprise,,1,1,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_7,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_7,False,,1,surprise,,1,S_10,2.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_8,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_8,True,,1,idle,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_9,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_9,True,,1,idle,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_10,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_10,False,,1,idle,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_11,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_11,True,,1,good,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_12,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_12,False,,1,good,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_13,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_13,True,,1,shy,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_14,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_14,True,,1,shy,,S_10,S_10,1.0,,Grey,,,,,,,,,,,,,
d_nikke_isabel_05_15,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_15,True,,1,idle,ArkRuinIndoor,1,1,1.0,none,Blur_Low,black,,,,,,,,,,,,
d_nikke_isabel_05_16,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_16,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_17,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_17,True,,1,good,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_18,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_18,True,,1,good,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_19,d_nikke_isabel_05,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_05_19,False,,1,good,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_20,d_nikke_isabel_05,Narration,isabel,Narration,Locale_NikkeEpisode:d_nikke_isabel_05_20,False,,1,good,,1,1,1.0,,,,sfx_scn_chain,Low_2,,,,,,,,,,
d_nikke_isabel_05_21,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_21,False,,1,good,,1,1,1.0,bgm_recognition_underworld,,,,,,,,,,,,,,
d_nikke_isabel_05_22,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_22,True,,1,surprise,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_23,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_23,True,,1,surprise,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_24,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_24,True,,1,surprise,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_25,d_nikke_isabel_05,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_05_25,False,,1,surprise,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_26,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_26,True,,1,good,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_27,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_27,True,,1,good,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_28,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_28,True,,1,idle,,1,S_10,2.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_29,d_nikke_isabel_05,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_05_29,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_30,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_30,True,,1,shy,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_31,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_31,True,,1,shy,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_32,d_nikke_isabel_05,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_05_32,True,,1,shy,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_isabel_05_33,d_nikke_isabel_05,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_05_33,False,,1,shy,,S_10,S_10,1.0,,,,,,,,,,,,,,,
