id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_camera_shake,fade,jump_target,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_rupee_wintershopper_03_1,d_nikke_rupee_wintershopper_03,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_1,False,black,S_10,S_10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_03_2,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_2,True,Bar,S_10,S_10,1.0,,sugar,sugar,sugar,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_3,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_3,True,,S_10,S_10,1.0,,sugar,sugar,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_4,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_4,True,,S_10,S_100,2.0,,sugar,sugar,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_5,d_nikke_rupee_wintershopper_03,Self,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_5,False,,S_100,S_100,1.0,,sugar,,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_6,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_6,True,BriefingRoom,1,XS_10,0.5,,signal,signal,signal,1,shy,sugar,Low_2,black,,,,,,
d_nikke_rupee_wintershopper_03_7,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_7,True,,XS_10,XS_10,1.0,,signal,signal,,1,shy,,,,,,,,,
d_nikke_rupee_wintershopper_03_8,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_8,True,,XS_10,XS_10,1.0,,signal,signal,,1,shy,,,,,,,,,
d_nikke_rupee_wintershopper_03_9,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_9,True,,XS_10,XS_10,1.0,,signal,signal,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_10,d_nikke_rupee_wintershopper_03,Self,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_10,False,,XS_10,XS_10,1.0,,signal,,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_11,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_11,False,City_d,1,1,1.0,none,rupee_w,rupee,rupee_w,1,think,signal,,black,,,,,,
d_nikke_rupee_wintershopper_03_12,d_nikke_rupee_wintershopper_03,Self,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_12,False,,1,1,1.0,,rupee_w,,,1,think,,,,,,,,,
d_nikke_rupee_wintershopper_03_13,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_13,False,,1,1,1.0,,rupee_w,rupee,,1,think,,,,,,,,,
d_nikke_rupee_wintershopper_03_14,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_14,True,,1,1,1.0,,rupee_w,rupee,,1,think,,,,,,,,,
d_nikke_rupee_wintershopper_03_15,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_15,True,,1,L_10,1.0,,rupee_w,rupee,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_16,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_16,True,,L_10,L_10,1.0,,rupee_w,rupee,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_17,d_nikke_rupee_wintershopper_03,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_17,True,,L_10,L_10,1.0,,rupee_w,rupee,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_03_18,d_nikke_rupee_wintershopper_03,Self,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_03_18,False,,L_10,L_10,1.0,,rupee_w,,,1,idle,,,,,,,,,
