id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_anis_01_1,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_1,True,NikkeRoom,20,20,1.0,bgm_story_leisuretime,,,,,anis,2,idle,,neon,12,idle,,rapi,4,idle,
d_nikke_anis_01_2,d_nikke_anis_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_anis_01_2,True,,20,3,1.0,,,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_3,d_nikke_anis_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_anis_01_3,True,,3,1,1.0,,,,,,,2,idle,,,12,delight,,,4,idle,
d_nikke_anis_01_4,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_4,True,,1,1,1.0,,,,,,,2,worry,,,12,delight,,,4,idle,
d_nikke_anis_01_5,d_nikke_anis_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_anis_01_5,True,,1,1,1.0,,,,,,,2,worry,,,12,no,,,4,idle,
d_nikke_anis_01_6,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_6,True,,1,1,1.0,,,,,,,2,no,,,12,no,,,4,idle,
d_nikke_anis_01_7,d_nikke_anis_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_anis_01_7,True,,1,1,1.0,,,,,,,2,no,,,12,angry,,,4,idle,
d_nikke_anis_01_8,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_8,True,,1,1,1.0,,,,,,,2,idle,,,12,angry,,,4,idle,
d_nikke_anis_01_9,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_9,True,,1,20,1.0,,,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_10,d_nikke_anis_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_anis_01_10,False,,20,20,1.0,,d_nikke_anis_01_12,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_11,d_nikke_anis_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_anis_01_11,False,,20,20,1.0,,d_nikke_anis_01_12,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_12,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_12,True,,20,20,1.0,,,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_13,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_13,True,,20,20,1.0,,,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_14,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_14,False,,20,20,1.0,,,,,,,2,idle,,,12,idle,,,4,idle,
d_nikke_anis_01_15,d_nikke_anis_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_01_15,True,,20,20,1.0,,,,,,,2,idle,,,12,idle,,,4,idle,
