id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_c_3_01_1,d_nikke_c_3_01,Monologue,Locale_NikkeEpisode:d_nikke_c_3_01_1,False,CommanderRoom,10,1,2.0,bgm_story_breakaway,,,,,,,,,,,,,,,
d_nikke_c_3_01_2,d_nikke_c_3_01,Monologue,Locale_NikkeEpisode:d_nikke_c_3_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_c_3_01_3,d_nikke_c_3_01,Monologue,Locale_NikkeEpisode:d_nikke_c_3_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_c_3_01_4,d_nikke_c_3_01,Self,Locale_NikkeEpisode:d_nikke_c_3_01_4,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_c_3_01_5,d_nikke_c_3_01,Choice,Locale_NikkeEpisode:d_nikke_c_3_01_5,False,,1,1,1.0,,d_nikke_c_3_01_7,,,,,,,,,,,,,,
d_nikke_c_3_01_6,d_nikke_c_3_01,Choice,Locale_NikkeEpisode:d_nikke_c_3_01_6,False,,1,1,1.0,,d_nikke_c_3_01_7,,,,,,,,,,,,,,
d_nikke_c_3_01_7,d_nikke_c_3_01,Narration,Locale_NikkeEpisode:d_nikke_c_3_01_7,False,,1,1,1.0,,,sfx_scn_phonevibration,,,,,,,,,,,,,
d_nikke_c_3_01_8,d_nikke_c_3_01,Self,Locale_NikkeEpisode:d_nikke_c_3_01_8,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_c_3_01_9,d_nikke_c_3_01,Monologue,Locale_NikkeEpisode:d_nikke_c_3_01_9,False,,1,1,1.0,,,sfx_scn_successsignal,,,,,,,,,,,,,
d_nikke_c_3_01_10,d_nikke_c_3_01,Self,Locale_NikkeEpisode:d_nikke_c_3_01_10,False,,1,10,1.0,,,,poli_op_c,poli_op_c,OP_center,angry,,,,,,,,,
d_nikke_c_3_01_11,d_nikke_c_3_01,Speech,Locale_NikkeEpisode:d_nikke_c_3_01_11,True,,10,10,1.0,,,,poli_op_c,,OP_center,angry,poli,,,,,,,,
d_nikke_c_3_01_12,d_nikke_c_3_01,Speech,Locale_NikkeEpisode:d_nikke_c_3_01_12,True,,10,10,1.0,,,,poli_op_c,,OP_center,angry,poli,,,,,,,,
d_nikke_c_3_01_13,d_nikke_c_3_01,Self,Locale_NikkeEpisode:d_nikke_c_3_01_13,False,,10,10,1.0,,,,poli_op_c,,OP_center,angry,,,,,,,,,
d_nikke_c_3_01_14,d_nikke_c_3_01,Speech,Locale_NikkeEpisode:d_nikke_c_3_01_14,True,,10,10,1.0,,,,poli_op_c,,OP_center,angry,poli,,,,,,,,
