id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target
d_nikke_hongryeon_03_1,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_1,True,hongryeon,1,idle,HotSpring,10,10,1.0,bgm_story_orangepop,,
d_nikke_hongryeon_03_2,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_2,True,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_3,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_3,True,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_4,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_4,True,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_5,d_nikke_hongryeon_03,Narration,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_5,False,,1,idle,,10,10,1.0,,sfx_scn_frog,
d_nikke_hongryeon_03_6,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_6,False,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_7,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_7,True,,1,delight,,10,10,1.0,,,
d_nikke_hongryeon_03_8,d_nikke_hongryeon_03,Choice,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_8,False,,1,delight,,10,10,1.0,,,d_nikke_hongryeon_03_10
d_nikke_hongryeon_03_9,d_nikke_hongryeon_03,Choice,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_9,False,,1,delight,,10,10,,,,d_nikke_hongryeon_03_12
d_nikke_hongryeon_03_10,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_10,True,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_11,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_11,True,,1,idle,,10,10,1.0,,,d_nikke_hongryeon_03_14
d_nikke_hongryeon_03_12,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_12,True,,1,no,,10,10,1.0,,,
d_nikke_hongryeon_03_13,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_13,True,,1,idle,,10,10,1.0,,,d_nikke_hongryeon_03_14
d_nikke_hongryeon_03_14,d_nikke_hongryeon_03,Narration,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_14,False,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_15,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_15,False,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_16,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_16,False,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_17,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_17,True,,1,idle,,10,100,1.0,,,
d_nikke_hongryeon_03_18,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_18,False,,1,idle,,black,black,1.0,,,
d_nikke_hongryeon_03_19,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_19,False,,1,idle,,black,black,1.0,,,
d_nikke_hongryeon_03_20,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_20,False,,1,idle,,black,black,1.0,,,
d_nikke_hongryeon_03_21,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_21,False,,1,idle,,black,black,1.0,,,
d_nikke_hongryeon_03_22,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_22,True,,1,idle,,100,100,1.0,,,
d_nikke_hongryeon_03_23,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_23,True,,1,idle,,100,100,1.0,,,
d_nikke_hongryeon_03_24,d_nikke_hongryeon_03,Narration,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_24,False,,1,idle,,100,19,0.8,,,
d_nikke_hongryeon_03_25,d_nikke_hongryeon_03,Narration,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_25,False,,1,idle,,19,19,1.0,,sfx_scn_splash,
d_nikke_hongryeon_03_26,d_nikke_hongryeon_03,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_26,False,,1,idle,,19,19,1.0,,,
d_nikke_hongryeon_03_27,d_nikke_hongryeon_03,Self,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_03_27,False,,1,idle,,100,100,1.0,,,
d_nikke_hongryeon_03_28,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_28,True,,1,idle,,100,10,1.0,,,
d_nikke_hongryeon_03_29,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_29,True,,1,idle,,10,10,1.0,,,
d_nikke_hongryeon_03_30,d_nikke_hongryeon_03,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_03_30,True,,1,idle,,10,10,1.0,,,
