id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_guillotine_winterslayer_04_1,d_nikke_guillotine_winterslayer_04,Narration,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_1,False,Crowncastlebedroom_d,black,black,1.0,event_bgm_icedragonsaga_adventure,,,,,,laplace,3,no,,guillotine_w,1,idle,,vesti_c,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_2,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_2,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_3,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_3,True,,S_30,2,1.0,,guillotine_w,guillotine_w,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_4,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_4,True,,2,2,1.0,,guillotine_w,guillotine_w,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_5,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_5,True,,2,2,1.0,,guillotine_w,guillotine_w,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_6,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_6,True,,2,2,1.0,,laplace,laplace,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_7,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_7,True,,2,2,1.0,,laplace,laplace,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_8,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_8,False,,2,2,1.0,,laplace,laplace,,,,,3,sad,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_9,d_nikke_guillotine_winterslayer_04,Self,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_9,False,,2,2,1.0,,laplace,,,,,,3,sad,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_10,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_10,True,,2,2,1.0,,laplace,laplace,,,,,3,delight,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_11,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_11,True,,2,2,1.0,,laplace,laplace,,,,,3,delight,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_12,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_12,True,,2,2,1.0,,laplace,laplace,,,,,3,delight,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_13,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_13,True,,2,2,1.0,,laplace,laplace,,,,,3,idle,,,1,idle,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_14,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_14,True,,2,2,1.0,,guillotine_w,guillotine_w,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_15,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_15,True,,2,2,1.0,,guillotine_w,guillotine_w,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_16,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_16,True,,2,2,1.0,,guillotine_w,guillotine_w,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_17,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_17,True,,2,S_30,0.5,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_18,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_18,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_19,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_19,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_20,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_20,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_21,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_21,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_22,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_22,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_23,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_23,True,,XS_130,XS_130,1.0,,vesti_c,vesti_c,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_24,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_24,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_25,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_25,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_26,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_26,True,,S_30,S_30,1.0,,laplace,laplace,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_guillotine_winterslayer_04_27,d_nikke_guillotine_winterslayer_04,Speech,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_04_27,True,,XS_130,XS_130,1.0,,vesti_c,vesti_c,,,,,3,idle,,,1,no,,,13,idle,,,,,
