id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,set_camera_shake,jump_target
d_nikke_liter_02_1,d_nikke_liter_02,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_02_1,True,liter,3,angry,anis,1,angry,rapi,5,idle,neon,13,idle,ShowerRoom,3,3,1.0,bgm_story_languor,,,,,,,
d_nikke_liter_02_2,d_nikke_liter_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_02_2,True,,3,angry,,1,angry,,5,idle,,13,angry,,3,12,0.7,,,,,,,,
d_nikke_liter_02_3,d_nikke_liter_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_02_3,True,,3,angry,,1,angry,,5,idle,,13,angry,,12,12,1.0,,,,,,,,
d_nikke_liter_02_4,d_nikke_liter_02,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_02_4,True,,3,delight,,1,angry,,5,idle,,13,angry,,12,XS_30,1.0,,,,,,,,
d_nikke_liter_02_5,d_nikke_liter_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_liter_02_5,False,,3,delight,,1,angry,,5,idle,,13,idle,,black,black,1.0,,,,,,,,
d_nikke_liter_02_6,d_nikke_liter_02,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_02_6,True,,3,delight,,1,angry,,5,idle,,13,idle,,XS_30,3,1.0,,,,,,,,
d_nikke_liter_02_7,d_nikke_liter_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_02_7,True,,3,delight,,1,angry,,5,idle,,13,surprise,,13,13,1.0,,,,,,,,
d_nikke_liter_02_8,d_nikke_liter_02,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_02_8,True,,3,delight,,1,angry,,5,idle,,13,surprise,,3,3,1.0,,,,,,,,
d_nikke_liter_02_9,d_nikke_liter_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_02_9,False,,3,delight,,1,angry,,5,idle,,13,surprise,,3,3,2.0,,,,,,,,
d_nikke_liter_02_10,d_nikke_liter_02,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_02_10,True,,3,idle,,1,angry,,5,idle,,13,surprise,OutpostOut,3,3,1.0,,liter,anis,rapi,neon,black_without_dialogue,,
d_nikke_liter_02_11,d_nikke_liter_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_02_11,True,,,,anis,1,worry,,,,neon,13,idle,,3,12,1.0,,,,,,,,
d_nikke_liter_02_12,d_nikke_liter_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_02_12,True,,,,,1,worry,rapi,5,idle,,13,idle,,12,12,1.0,,,,,,,,
