id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
d_nikke_helm_aquamarine_05_1,d_nikke_helm_aquamarine_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_1,False,LogHouseOut_d,1,1,1.0,bgm_story_milkyway,,,,,,,,,,,
d_nikke_helm_aquamarine_05_2,d_nikke_helm_aquamarine_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_2,False,,1,1,1.0,,,,,,,,,,,,
d_nikke_helm_aquamarine_05_3,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_3,False,,1,1,1.0,,helm_s,helm_s,1,sad,,,,,,,
d_nikke_helm_aquamarine_05_4,d_nikke_helm_aquamarine_05,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_4,False,,1,1,1.0,,,,1,sad,,,,,,,
d_nikke_helm_aquamarine_05_5,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_5,True,,1,10,1.0,,helm_s,,1,special,,,,,,,
d_nikke_helm_aquamarine_05_6,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_6,True,,10,10,1.0,,helm_s,,1,special,,,,,,,
d_nikke_helm_aquamarine_05_7,d_nikke_helm_aquamarine_05,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_7,False,,10,10,1.0,,,,1,special,,,,,,,
d_nikke_helm_aquamarine_05_8,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_8,True,,10,10,1.0,,helm_s,,1,think,,,,,,,
d_nikke_helm_aquamarine_05_9,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_9,True,,10,10,1.0,,helm_s,,1,think,,,,,,,
d_nikke_helm_aquamarine_05_10,d_nikke_helm_aquamarine_05,Choice,,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_10,False,,10,10,1.0,,,,1,think,d_nikke_helm_aquamarine_05_12,,,,,,
d_nikke_helm_aquamarine_05_11,d_nikke_helm_aquamarine_05,Choice,,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_11,False,,10,10,1.0,,,,1,think,d_nikke_helm_aquamarine_05_15,,,,,,
d_nikke_helm_aquamarine_05_12,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_12,True,,10,10,1.0,,helm_s,,1,think,,,,,,,
d_nikke_helm_aquamarine_05_13,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_13,True,,10,1,1.0,,helm_s,,1,think,,,,,,,
d_nikke_helm_aquamarine_05_14,d_nikke_helm_aquamarine_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_14,False,,1,1,1.0,,,,1,think,d_nikke_helm_aquamarine_05_20,helm_s,,,,,
d_nikke_helm_aquamarine_05_15,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_15,True,,10,10,1.0,,helm_s,,1,think,,,,,,,
d_nikke_helm_aquamarine_05_16,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_16,True,,10,10,1.0,,helm_s,,1,idle,,,,,,,
d_nikke_helm_aquamarine_05_17,d_nikke_helm_aquamarine_05,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_17,True,,10,1,1.0,,helm_s,,1,idle,,,,,,,
d_nikke_helm_aquamarine_05_18,d_nikke_helm_aquamarine_05,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_18,False,,1,1,1.0,,,,1,idle,,,,,,,
d_nikke_helm_aquamarine_05_19,d_nikke_helm_aquamarine_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_19,False,,1,1,1.0,,,,1,idle,,helm_s,,,,,
d_nikke_helm_aquamarine_05_20,d_nikke_helm_aquamarine_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_05_20,False,,1,1,1.0,,,,,,,,,,,,
