id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_sugar_02_1,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_1,True,Office,S_70,S_70,1.0,bgm_story_epicjazzymoods,,,,sugar,9,idle,,dolla,7,surprise,,yan,3,idle,,rupee,5,idle,
d_nikke_sugar_02_2,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_2,True,,S_70,S_90,1.0,,,,,,9,idle,,,7,surprise,,,3,idle,,,5,idle,
d_nikke_sugar_02_3,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_3,True,,S_90,3,1.0,,,,,,9,idle,,,7,surprise,,,3,surprise,,,5,idle,
d_nikke_sugar_02_4,d_nikke_sugar_02,Speech,yan,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_4,False,,3,3,1.0,,,,,,9,idle,,,7,surprise,,,3,surprise,,,5,idle,
d_nikke_sugar_02_5,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_5,True,,3,S_70,1.0,,,,,,9,idle,,,7,no,,,3,surprise,,,5,idle,
d_nikke_sugar_02_6,d_nikke_sugar_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_sugar_02_6,True,,S_70,L_50,1.0,,,,,,9,idle,,,7,no,,,3,idle,,,5,idle,
d_nikke_sugar_02_7,d_nikke_sugar_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_sugar_02_7,True,,L_50,L_500,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,sad,
d_nikke_sugar_02_8,d_nikke_sugar_02,Narration,rupee,Narration,Locale_NikkeEpisode:d_nikke_sugar_02_8,False,,L_500,L_500,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,"expression_0,sad",
d_nikke_sugar_02_9,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_9,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,sad,
d_nikke_sugar_02_10,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_10,True,,S_90,S_900,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_11,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_11,True,,30,30,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_12,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_12,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_13,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_13,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_14,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_14,True,,S_90,S_900,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_15,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_15,True,,3,30,1.0,,,,,,9,idle,,,7,idle,,,3,surprise,,,5,idle,
d_nikke_sugar_02_16,d_nikke_sugar_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_sugar_02_16,True,,30,L_50,0.5,,,,,,9,idle,,,7,idle,,,3,surprise,,,5,idle,
d_nikke_sugar_02_17,d_nikke_sugar_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_sugar_02_17,True,,L_50,L_50,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_18,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_18,True,,L_50,S_70,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_19,d_nikke_sugar_02,Self,dolla,Self,Locale_NikkeEpisode:d_nikke_sugar_02_19,False,,S_70,S_70,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_20,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_20,True,,S_70,S_700,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_21,d_nikke_sugar_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_sugar_02_21,True,,L_500,L_500,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_22,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_22,True,,30,30,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_23,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_23,True,,30,300,1.0,,,,,,9,idle,,,7,idle,,,3,delight,,,5,idle,
d_nikke_sugar_02_24,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_24,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,idle,,,3,delight,,,5,idle,
d_nikke_sugar_02_25,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_25,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,idle,,,3,delight,,,5,idle,
d_nikke_sugar_02_26,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_26,True,,30,30,1.0,,,,,,9,idle,,,7,idle,,,3,etc,,,5,idle,
d_nikke_sugar_02_27,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_27,True,,S_70,S_70,1.0,,,,,,9,idle,,,7,idle,,,3,etc,,,5,idle,
d_nikke_sugar_02_28,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_28,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_29,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_29,True,,S_70,S_70,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_30,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_30,True,,S_70,S_70,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_31,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_31,True,,30,30,1.0,,,,,,9,idle,,,7,good,,,3,delight,,,5,idle,
d_nikke_sugar_02_32,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_32,True,,30,30,1.0,,,,,,9,idle,,,7,good,,,3,delight,,,5,idle,
d_nikke_sugar_02_33,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_33,True,,30,300,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_34,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_34,True,,S_70,S_70,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_35,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_35,True,,S_70,S_700,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_36,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_36,True,,S_90,S_90,1.0,,,,,,9,idle,,,7,good,,,3,idle,,,5,idle,
d_nikke_sugar_02_37,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_37,True,,S_90,S_900,1.0,,,,,,9,idle,,,7,idle,,,3,idle,,,5,idle,
d_nikke_sugar_02_38,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_38,True,,30,30,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_39,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_39,True,,30,S_900,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_40,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_40,True,,30,30,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_41,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_41,True,,S_900,S_900,1.0,,,,,,9,idle,,,7,idle,,,3,no,,,5,idle,
d_nikke_sugar_02_42,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_42,True,,300,300,1.0,,,,,,9,idle,,,7,idle,,,3,sad,,,5,idle,
d_nikke_sugar_02_43,d_nikke_sugar_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_sugar_02_43,True,,300,L_500,0.5,,,,,,9,idle,,,7,idle,,,3,sad,,,5,idle,
d_nikke_sugar_02_44,d_nikke_sugar_02,Speech,dolla,dolla,Locale_NikkeEpisode:d_nikke_sugar_02_44,True,,L_500,S_700,0.5,,,,,,9,idle,,,7,good,,,3,sad,,,5,idle,
d_nikke_sugar_02_45,d_nikke_sugar_02,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_sugar_02_45,True,,30,300,1.0,,,,,,9,idle,,,7,good,,,3,no,,,5,idle,
d_nikke_sugar_02_46,d_nikke_sugar_02,Monologue,yan,Monologue,Locale_NikkeEpisode:d_nikke_sugar_02_46,False,OuterRim,black,black,1.0,none,,,,,9,idle,,,7,idle,dolla,,3,no,yan,,5,idle,rupee
d_nikke_sugar_02_47,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_47,True,,19,9,1.0,bgm_story_tuffguys,,,,,9,idle,,,,,,,,,,,,,
d_nikke_sugar_02_48,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_48,True,,9,9,1.0,,,,,,9,idle,,,,,,,,,,,,,
d_nikke_sugar_02_49,d_nikke_sugar_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_02_49,True,,9,S_90,1.0,,,,,,9,idle,,,,,,,,,,,,,
d_nikke_sugar_02_50,d_nikke_sugar_02,Self,sugar,Self,Locale_NikkeEpisode:d_nikke_sugar_02_50,False,,S_90,S_90,1.0,,,,,,9,idle,,,,,,,,,,,,,
