id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,play_sound,fade,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_blanc_01_1,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_1,False,MaidCafe,5,1,2.0,bgm_story_orangepop,,,,,,,,,,,,,
d_nikke_blanc_01_2,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_2,True,,1,1,1.0,,soda,soda,1,think,,,,,,,,,
d_nikke_blanc_01_3,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_3,True,,1,1,1.0,,soda,,1,idle,,,,,,,,,
d_nikke_blanc_01_4,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_4,False,,1,1,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_5,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_5,True,,1,1,1.0,,soda,,1,idle,,,,,,,,,
d_nikke_blanc_01_6,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_6,False,,black,black,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_7,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_7,True,,1,S_10,2.0,,soda,,1,think,,,,,,,,,
d_nikke_blanc_01_8,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_8,True,,S_10,S_10,1.0,,soda,,1,idle,,,,,,,,,
d_nikke_blanc_01_9,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_9,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_10,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_10,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_11,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_11,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_12,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_12,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_13,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_13,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_14,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_14,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_blanc_01_15,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_15,True,,S_10,S_10,1.0,,soda,,1,sad,,,,,,,,,
d_nikke_blanc_01_16,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_16,False,,S_10,1,0.3,,soda,,1,shy,Low_2,,,,,,,,
d_nikke_blanc_01_17,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_17,True,,1,1,1.0,,soda,,1,shy,,,,,,,,,
d_nikke_blanc_01_18,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_18,True,,1,1,1.0,,soda,,1,shy,,,,,,,,,
d_nikke_blanc_01_19,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_19,True,,1,1,1.0,,soda,,1,shy,,,,,,,,,
d_nikke_blanc_01_20,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_20,False,,1,1,1.0,,,,1,shy,Low_2,soda,sfx_scn_heavytrip,,,,,,
d_nikke_blanc_01_21,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_21,False,,1,1,1.0,,,,1,shy,,,,,,,,,
d_nikke_blanc_01_22,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_22,True,,1,1,2.0,,soda,soda,1,sad,,,,,,,,,
d_nikke_blanc_01_23,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_23,False,,1,1,1.0,,,,1,sad,,,,,,,,,
d_nikke_blanc_01_24,d_nikke_blanc_01,Speech,soda,Locale_NikkeEpisode:d_nikke_blanc_01_24,True,,1,1,1.0,,soda,,1,serious,,,,,,,,,
d_nikke_blanc_01_25,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_25,False,,1,1,1.0,,,,1,serious,,,,,,,,,
d_nikke_blanc_01_26,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_26,False,,black,black,1.0,none,,,1,serious,,soda,,,,,,,
d_nikke_blanc_01_27,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_27,False,,black,black,1.0,,,,,,,,,,,,,,
d_nikke_blanc_01_28,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_28,False,CommanderRoom,1,1,1.0,,,,,,,,,black,,,,,
d_nikke_blanc_01_29,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_29,False,,1,1,1.0,,,,,,,,sfx_scn_fillacup,,,,,,
d_nikke_blanc_01_30,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_30,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_blanc_01_31,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_31,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_blanc_01_32,d_nikke_blanc_01,Speech,laplace,Locale_NikkeEpisode:d_nikke_blanc_01_32,True,,1,1,1.0,bgm_story_whosdumber,laplace,,,,Low_2,,,,,,,,
d_nikke_blanc_01_33,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_33,False,,black,black,1.0,,,,,,,,sfx_scn_autodooropen,,,,,,
d_nikke_blanc_01_34,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_34,False,,1,S_100,0.5,,,laplace,1,delight,Low_2,,sfx_scn_hit,,,,,,
d_nikke_blanc_01_35,d_nikke_blanc_01,Self,Self,Locale_NikkeEpisode:d_nikke_blanc_01_35,False,,S_100,S_100,1.0,,,,1,delight,,,,,,,,,
d_nikke_blanc_01_36,d_nikke_blanc_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_blanc_01_36,False,,S_100,S_100,1.0,,,,1,delight,Low_2,,sfx_scn_sglassbreak,,,,,,
d_nikke_blanc_01_37,d_nikke_blanc_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_blanc_01_37,False,,S_100,S_100,1.0,,,,1,delight,,,,,,,,,
d_nikke_blanc_01_38,d_nikke_blanc_01,Speech,laplace,Locale_NikkeEpisode:d_nikke_blanc_01_38,True,,S_100,S_10,0.5,,laplace,,1,no,,,,,,,,,
d_nikke_blanc_01_39,d_nikke_blanc_01,Speech,laplace,Locale_NikkeEpisode:d_nikke_blanc_01_39,True,,S_10,S_10,1.0,,laplace,,1,no,,,,,,,,,
