id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,conversation_id
d_nikke_anne_miraclefairy_01_1,d_nikke_anne_miraclefairy_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_1,True,anne,5,idle,anis,3,idle,rapi,1,idle,neon,13,surprise,CommanderRoom,black,black,1.0,bgm_story_sunnycarnival,,,,,
d_nikke_anne_miraclefairy_01_2,d_nikke_anne_miraclefairy_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_2,True,,5,idle,,3,idle,,1,idle,,13,surprise,,black,black,1.0,,,,,,
d_nikke_anne_miraclefairy_01_3,d_nikke_anne_miraclefairy_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_3,True,,5,idle,,3,no,,1,idle,,13,surprise,,S_130,S_130,1.0,,,,,,
d_nikke_anne_miraclefairy_01_4,d_nikke_anne_miraclefairy_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_4,True,,5,idle,,3,no,,1,idle,,13,idle,,S_130,30,2.0,,,,,,
d_nikke_anne_miraclefairy_01_5,d_nikke_anne_miraclefairy_01,Speech,anne,anne,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_5,True,,5,idle,,3,idle,,1,idle,,13,idle,,30,XS_50,2.0,,,,,,
d_nikke_anne_miraclefairy_01_6,d_nikke_anne_miraclefairy_01,Speech,anne,anne,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_6,True,,5,idle,,3,idle,,1,idle,,13,idle,,XS_50,XS_50,1.0,none,,,,,
d_nikke_anne_miraclefairy_01_7,d_nikke_anne_miraclefairy_01,Self,anne,,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_7,False,,5,idle,,3,angry,,1,idle,,13,surprise,,XS_50,XS_50,1.0,,,,,,
d_nikke_anne_miraclefairy_01_8,d_nikke_anne_miraclefairy_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_8,True,,5,idle,,3,angry,,1,idle,,13,surprise,,XS_50,XS_50,1.0,,,,,,
d_nikke_anne_miraclefairy_01_9,d_nikke_anne_miraclefairy_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_9,True,,5,idle,,3,angry,,1,idle,,13,surprise,,XS_50,XS_50,1.0,,,,,,
d_nikke_anne_miraclefairy_01_10,d_nikke_anne_miraclefairy_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_10,True,,5,idle,,3,angry,,1,idle,,13,surprise,,XS_50,XS_50,1.0,,,,,,
d_nikke_anne_miraclefairy_01_11,d_nikke_anne_miraclefairy_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_11,False,,5,idle,,3,worry,,1,think,,13,surprise,,XS_50,XS_50,1.0,,d_nikke_anne_miraclefairy_01_13,,,,
d_nikke_anne_miraclefairy_01_12,d_nikke_anne_miraclefairy_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_12,False,,5,idle,,3,worry,,1,think,,13,surprise,,XS_50,XS_50,1.0,,d_nikke_anne_miraclefairy_01_17,,,,
d_nikke_anne_miraclefairy_01_13,d_nikke_anne_miraclefairy_01,Speech,anne,anne,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_13,True,,5,idle,,3,sad,,1,think,,13,idle,,XS_50,XS_50,1.0,,,,,,
d_nikke_anne_miraclefairy_01_14,d_nikke_anne_miraclefairy_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_14,True,,5,idle,,3,sad,,1,think,,13,idle,,10,10,1.0,,,,,,
d_nikke_anne_miraclefairy_01_15,d_nikke_anne_miraclefairy_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_15,True,,5,idle,,3,sad,,1,think,,13,idle,,10,10,1.0,,,,,,
d_nikke_anne_miraclefairy_01_16,d_nikke_anne_miraclefairy_01,Self,rapi,,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_16,False,,5,idle,,3,idle,,1,think,,13,idle,,XS_50,XS_50,1.0,,d_nikke_anne_miraclefairy_01_17,,,,
d_nikke_anne_miraclefairy_01_17,d_nikke_anne_miraclefairy_01,Speech,anne,anne,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_01_17,True,,5,shy,,3,idle,,1,idle,,13,idle,,XS_50,XS_500,0.5,,,,,,
