id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,jump_target,fade,play_sound,set_camera_shake
d_nikke_poli_02_1,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_1,True,poli,1,angry,CommanderRoom,1,XS_10,2.0,bgm_story_whosdumber,,,,,
d_nikke_poli_02_2,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_2,True,,1,angry,,XS_10,XS_10,1.0,,,,,,
d_nikke_poli_02_3,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_3,True,,1,angry,,XS_10,XS_10,1.0,,,,,,
d_nikke_poli_02_4,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_4,True,,1,angry,,XS_10,XS_10,1.0,,,,,,
d_nikke_poli_02_5,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_5,True,,1,angry,,XS_10,XS_10,1.0,,,,,,
d_nikke_poli_02_6,d_nikke_poli_02,Narration,poli,,Locale_NikkeEpisode:d_nikke_poli_02_6,False,,1,angry,,XS_10,XS_100,2.0,,,,,,
d_nikke_poli_02_7,d_nikke_poli_02,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_02_7,False,,1,angry,,XS_100,XS_100,1.0,,,,,,
d_nikke_poli_02_8,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_8,True,,1,"expression_0,idle",,XS_100,XS_100,3.0,,,,,,
d_nikke_poli_02_9,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_9,False,,1,surprise,,XS_100,XS_10,0.3,,,,,,
d_nikke_poli_02_10,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_10,True,,1,angry,,XS_10,XS_10,1.0,,,,,,
d_nikke_poli_02_11,d_nikke_poli_02,Narration,poli,,Locale_NikkeEpisode:d_nikke_poli_02_11,False,,1,angry,,XS_10,1,0.5,,poli,,,,
d_nikke_poli_02_12,d_nikke_poli_02,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_02_12,False,,,,,1,1,1.0,,,,,,
d_nikke_poli_02_13,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_13,True,poli,1,angry,,1,XS_10,1.0,,,,,,
d_nikke_poli_02_14,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_14,True,,1,angry,,XS_10,XS_10,1.0,,,,,,
d_nikke_poli_02_15,d_nikke_poli_02,Choice,poli,,Locale_NikkeEpisode:d_nikke_poli_02_15,False,,1,angry,,XS_10,XS_10,1.0,,,d_nikke_poli_02_17,,,
d_nikke_poli_02_16,d_nikke_poli_02,Choice,poli,,Locale_NikkeEpisode:d_nikke_poli_02_16,False,,1,angry,,XS_10,XS_10,1.0,,,d_nikke_poli_02_24,,,
d_nikke_poli_02_17,d_nikke_poli_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_02_17,True,,1,angry,,XS_10,XS_100,2.0,,,,,,
