id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_mori_02_1,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_1,True,mori,1,think,ArkCleanIndoor,S_10,S_100,0.5,bgm_story_breakaway,,,,,,,,,,,,,,
d_nikke_mori_02_2,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_2,True,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_3,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_3,True,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_4,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_4,False,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_5,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_5,True,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_6,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_6,False,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_7,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_7,True,,1,shy_01,,S_100,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_8,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_8,False,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_9,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_9,True,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_10,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_10,True,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
