id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id
d_nikke_phantom_01_1,d_nikke_phantom_01,Narration,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_1,False,CommanderRoom_n,1,1,1.0,sfx_scn_tablettouchs,bgm_story_backtonormal,,,,,,,,,,,
d_nikke_phantom_01_2,d_nikke_phantom_01,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_2,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_3,d_nikke_phantom_01,Monologue,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_3,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_4,d_nikke_phantom_01,Monologue,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_4,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_5,d_nikke_phantom_01,Narration,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_5,False,,1,1,1.0,sfx_scn_knock,,,,,,,,,,,,
d_nikke_phantom_01_6,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_6,False,,1,1,1.0,,,rapi,,,,,,,,,,
d_nikke_phantom_01_7,d_nikke_phantom_01,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_7,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_8,d_nikke_phantom_01,Narration,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_8,False,,black,black,1.0,sfx_scn_autodooropen,,,rapi,1,idle,,,,,,,
d_nikke_phantom_01_9,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_9,True,,10,10,1.0,,,rapi,,1,idle,,,,,,,
d_nikke_phantom_01_10,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_10,True,,10,10,1.0,,,rapi,,1,idle,,,,,,,
d_nikke_phantom_01_11,d_nikke_phantom_01,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_11,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_nikke_phantom_01_12,d_nikke_phantom_01,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_12,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_nikke_phantom_01_13,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_13,True,,10,10,1.0,,,rapi,,1,worry,,,,,,,
d_nikke_phantom_01_14,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_14,True,,10,10,1.0,,,rapi,,1,worry,,,,,,,
d_nikke_phantom_01_15,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_15,True,,10,10,1.0,,,rapi,,1,idle,,,,,,,
d_nikke_phantom_01_16,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_16,True,,10,10,1.0,,,rapi,,1,idle,,,,,,,
d_nikke_phantom_01_17,d_nikke_phantom_01,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_17,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_nikke_phantom_01_18,d_nikke_phantom_01,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_18,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_nikke_phantom_01_19,d_nikke_phantom_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_19,True,,10,10,1.0,,,rapi,,1,idle,,,,,,,
d_nikke_phantom_01_20,d_nikke_phantom_01,Monologue,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_20,False,,black,black,1.0,,,,,1,idle,,,,,,,
d_nikke_phantom_01_21,d_nikke_phantom_01,Monologue,rapi,Locale_NikkeEpisode:d_nikke_phantom_01_21,False,,black,black,1.0,,,,,1,idle,rapi,,,,,,
d_nikke_phantom_01_22,d_nikke_phantom_01,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_22,False,City_d,black,black,1.0,,none,,,,,,black,,,,,
d_nikke_phantom_01_23,d_nikke_phantom_01,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_23,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_24,d_nikke_phantom_01,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_24,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_25,d_nikke_phantom_01,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_25,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_26,d_nikke_phantom_01,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_26,False,Library,black,black,1.0,sfx_scn_rustydooropen,,,,,,,,,,,,
d_nikke_phantom_01_27,d_nikke_phantom_01,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_27,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_28,d_nikke_phantom_01,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_28,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_phantom_01_29,d_nikke_phantom_01,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_29,False,,black,black,1.0,,,,,,,,,phantom,1,idle_02,,
d_nikke_phantom_01_30,d_nikke_phantom_01,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_30,True,,L_10,L_10,1.0,,bgm_story_orangepop,phantom,,,,,,,1,idle_02,,
d_nikke_phantom_01_31,d_nikke_phantom_01,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_31,True,,L_10,L_10,1.0,,,phantom,,,,,,,1,idle_02,,
d_nikke_phantom_01_32,d_nikke_phantom_01,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_32,False,,L_10,L_10,1.0,,,,,,,,,,1,idle_02,,
d_nikke_phantom_01_33,d_nikke_phantom_01,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_33,False,,L_10,L_10,1.0,,,,,,,,,,1,idle_02,,
d_nikke_phantom_01_34,d_nikke_phantom_01,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_34,False,,L_10,L_10,1.0,,,,,,,,,,1,idle_02,,
d_nikke_phantom_01_35,d_nikke_phantom_01,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_01_35,False,,L_10,L_100,1.0,,,phantom,,,,,,,1,special_02,,
