id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce004_01_05_1,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_1,True,SimulationRoom,1,1,1.0,bgm_story_armageddon,,,ce004_01,12,idle,zwei,2,pain
d_nikke_ce004_01_05_2,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_2,True,,1,1,1.0,,,,,12,idle,,2,pain
d_nikke_ce004_01_05_3,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_3,True,,1,1,1.0,,,,,12,idle,,2,pain
d_nikke_ce004_01_05_4,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_4,True,,1,1,1.0,,,,,12,go,,2,pain
d_nikke_ce004_01_05_5,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_5,True,,1,1,1.0,,,,,12,go,,2,idle
d_nikke_ce004_01_05_6,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_6,False,,1,1,1.0,none,sfx_scn_scorebeep,,,12,go,,2,idle
d_nikke_ce004_01_05_7,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_7,False,,black,black,1.0,bgm_spot_encounter,,,,12,go,,2,idle
d_nikke_ce004_01_05_8,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_8,False,,black,black,1.0,,,,,12,go,,2,idle
d_nikke_ce004_01_05_9,d_nikke_ce004_01_05,Narration,ce004_01,,Locale_NikkeEpisode:d_nikke_ce004_01_05_9,False,,black,black,1.0,,sfx_scn_2shot,,,12,go,,2,angry
d_nikke_ce004_01_05_10,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_10,True,,1200,1200,1.0,,,,,12,go,,2,angry
d_nikke_ce004_01_05_11,d_nikke_ce004_01_05,Narration,ce004_01,,Locale_NikkeEpisode:d_nikke_ce004_01_05_11,False,,black,black,1.0,,sfx_scn_explosionnear,,,12,go,,2,angry
d_nikke_ce004_01_05_12,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_12,True,,200,200,1.0,,,,,12,go,,2,angry
d_nikke_ce004_01_05_13,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_13,False,,black,black,1.0,,,,,12,go,,2,surprise
d_nikke_ce004_01_05_14,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_14,True,,1,1,1.0,,,,,12,go,,2,surprise
d_nikke_ce004_01_05_15,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_15,True,,1,1,1.0,,,,,12,go,,2,surprise
d_nikke_ce004_01_05_16,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_16,True,,1,1,1.0,,,,,12,go,,2,good
d_nikke_ce004_01_05_17,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_17,True,,1,20,1.0,,,,,12,go,,2,surprise
d_nikke_ce004_01_05_18,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_18,True,,20,20,1.0,,,,,12,go,,2,surprise
d_nikke_ce004_01_05_19,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_19,True,,20,120,1.0,,,,,12,surprise,,2,surprise
d_nikke_ce004_01_05_20,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_20,True,,120,120,1.0,,,,,12,surprise,,2,surprise
d_nikke_ce004_01_05_21,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_21,True,,20,20,1.0,,,,,12,surprise,,2,surprise
d_nikke_ce004_01_05_22,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_22,False,,20,20,1.0,,,,,12,surprise,,2,surprise
d_nikke_ce004_01_05_23,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_23,False,,black,black,1.0,,sfx_scn_grabhard,,,12,surprise,,2,surprise
d_nikke_ce004_01_05_24,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_24,True,,200,200,1.0,,,Low_2,,12,surprise,,2,surprise
d_nikke_ce004_01_05_25,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_25,False,,black,black,1.0,,sfx_scn_heavytrip,,,12,surprise,,2,surprise
d_nikke_ce004_01_05_26,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_26,False,,1,1,1.0,,,,,12,angry,,2,surprise
d_nikke_ce004_01_05_27,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_27,True,,1,1,1.0,,,,,12,angry,,2,surprise
d_nikke_ce004_01_05_28,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_28,True,,1,1,1.0,,,,,12,angry,,2,surprise
d_nikke_ce004_01_05_29,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_29,True,,1,1,1.0,,,,,12,angry,,2,surprise
d_nikke_ce004_01_05_30,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_30,False,,black,black,1.0,,sfx_scn_gunfire,,,12,angry,,2,angry
d_nikke_ce004_01_05_31,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_31,False,,black,black,1.0,,sfx_scn_explosionnear,,,12,angry,,2,angry
