id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,highlight,fade,jump_target
d_nikke_mihara_05_1,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_1,False,Hospital,1,6017,2.0,none,Grey,,,,,,,,,,,,
d_nikke_mihara_05_2,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_2,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_3,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_3,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_4,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_4,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_5,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_5,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_6,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_6,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_7,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_7,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_8,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_8,False,,black,black,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_9,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_9,False,,black,black,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_10,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_10,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_11,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_11,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_12,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_12,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_13,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_13,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_14,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_14,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_15,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_15,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_16,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_16,False,,6017,6017,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_17,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_17,False,,6017,1,1.0,,Grey,,,,,,,,,,,,
d_nikke_mihara_05_18,d_nikke_mihara_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_mihara_05_18,False,,1,1,1.0,,Grey,,,,,,,,,,,,
