id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,fade,play_sound,conversation_id,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_admi_04_1,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_1,True,NikkeCorridor,13,13,1.0,bgm_story_sundayintheark,,,,,,,privaty,13,idle,,,,,,admi,3,idle,
d_nikke_admi_04_2,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_2,True,,13,13,1.0,,,,,,,,,13,idle,,,,,,,3,idle,
d_nikke_admi_04_3,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_3,True,,13,2,1.0,,,,,,,,,13,idle,,,,,,,3,idle,
d_nikke_admi_04_4,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_4,True,,2,2,1.0,,,,,,,,,13,idle,,yulha,1,idle,,,3,idle,
d_nikke_admi_04_5,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_5,True,,2,12,1.0,,,,,,,,,13,shy,,,1,idle,,,3,idle,
d_nikke_admi_04_6,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_6,True,,12,12,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_7,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_7,True,,3,3,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_8,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_8,True,,13,S_130,0.5,,,,,,,,,13,shy,,,1,idle,,,3,idle,
d_nikke_admi_04_9,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_9,True,,S_130,13,1.3,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_10,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_10,True,,S_30,S_30,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_11,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_11,True,,S_30,S_30,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_12,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_12,True,,S_30,S_30,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_13,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_13,True,,S_30,2,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_14,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_14,True,,2,2,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_15,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_15,False,,S_30,S_300,0.7,none,Low_2,,,,,,,13,sad,,,1,idle,,,3,surprise,
d_nikke_admi_04_16,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_16,True,,13,S_130,2.0,,,,,,,,,13,sad,,,1,idle,,,3,surprise,
d_nikke_admi_04_17,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_17,False,,S_300,S_30,1.0,,,,,,,,,13,sad,,,1,idle,,,3,worry,
d_nikke_admi_04_18,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_18,True,,S_30,S_30,1.0,bgm_story_sunshinesorrow,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_19,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_19,True,,S_30,S_30,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_20,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_20,True,,S_30,S_30,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_21,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_21,True,,S_30,2,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_22,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_22,False,,2,2,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_23,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_23,True,,2,2,1.0,,,,,,,,,13,sad,,,1,sad,,,3,idle,
d_nikke_admi_04_24,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_24,False,,2,2,1.0,,,,,,,,,13,sad,,,1,sad,,,3,idle,
d_nikke_admi_04_25,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_25,True,,2,L_10,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_26,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_26,True,,L_10,L_10,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_27,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_27,True,,L_10,L_10,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_28,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_28,True,,S_130,S_1300,2.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_29,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_29,True,,2,2,1.0,,,,,,,,,13,sad,,,1,idle,,,3,idle,
d_nikke_admi_04_30,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_30,True,,2,2,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_31,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_31,True,,2,2,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_32,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_32,False,,2,2,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_33,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_33,True,,2,S_30,1.0,,,,,,,,,13,idle,,,1,idle,,,3,idle,
d_nikke_admi_04_34,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_34,True,,S_30,S_30,1.0,,,,,,,,,13,idle,,,1,idle,,,3,delight,
d_nikke_admi_04_35,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_35,True,,S_30,S_30,1.0,,,,,,,,,13,idle,,,1,idle,,,3,delight,
d_nikke_admi_04_36,d_nikke_admi_04,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_04_36,True,,S_30,3,1.0,,,,,,,,,13,idle,,,1,idle,,,3,delight,
d_nikke_admi_04_37,d_nikke_admi_04,Narration,admi,Narration,Locale_NikkeEpisode:d_nikke_admi_04_37,False,,3,3,1.0,none,,,,,,,,13,idle,,,1,idle,,,3,delight,admi
d_nikke_admi_04_38,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_38,True,,3,1,1.0,,,,,,,,,13,idle,,,1,sad,,,,,
d_nikke_admi_04_39,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_39,True,,1,12,0.5,bgm_story_herecomestrouble,,,,,,,,13,angry,,,1,sad,,,,,
d_nikke_admi_04_40,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_40,True,,12,12,1.0,,,,,,,,,13,angry,,,1,sad,,,,,
d_nikke_admi_04_41,d_nikke_admi_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_04_41,True,,12,12,1.0,,,,,,,,,13,angry,,,1,idle,,,,,
d_nikke_admi_04_42,d_nikke_admi_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_admi_04_42,True,,12,12,1.0,,,,,,,,,13,angry,,,1,idle,,,,,
