id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,jump_target,characters/0/set_char_anim,characters/0/show_char_id,characters/0/set_char_position
treasurestory_milk_05_1,treasurestory_milk_05,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_05_1,False,CityForest_01,1,1,1.0,none,,,,good,,
treasurestory_milk_05_2,treasurestory_milk_05,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_05_2,False,,1,S_10,1.0,,sfx_scn_walk,,,good,milk,1
treasurestory_milk_05_3,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_3,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_4,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_4,False,,S_10,S_10,1.0,,,,,good,,1
treasurestory_milk_05_5,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_5,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_6,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_6,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_7,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_7,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_8,treasurestory_milk_05,Choice,milk,Locale_NikkeEpisode:treasurestory_milk_05_8,False,,S_10,S_10,1.0,,,,treasurestory_milk_05_10,good,,1
treasurestory_milk_05_9,treasurestory_milk_05,Choice,milk,Locale_NikkeEpisode:treasurestory_milk_05_9,False,,S_10,S_10,1.0,,,,treasurestory_milk_05_11,good,,1
treasurestory_milk_05_10,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_10,True,,S_10,S_10,1.0,,,milk,treasurestory_milk_05_12,good,,1
treasurestory_milk_05_11,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_11,True,,S_10,S_10,1.0,,,milk,treasurestory_milk_05_12,no,,1
treasurestory_milk_05_12,treasurestory_milk_05,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_05_12,False,,S_10,S_100,1.0,bgm_frostpillar,sfx_scn_walk,,,idle,,1
