id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_camera_shake,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_ether_03_1,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_1,True,Hospital,1,1,1.0,bgm_story_backtonormal,Blur_Middle,,,,ether,1,delight,,,,,,,,,
d_nikke_ether_03_2,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_2,True,,1,1,1.0,,Blur_Low,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_3,d_nikke_ether_03,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_03_3,False,,1,1,1.0,,,Low_2,,,,1,delight,,,,,,,,,
d_nikke_ether_03_4,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_4,True,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
d_nikke_ether_03_5,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_5,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_6,d_nikke_ether_03,Choice,ether,,Locale_NikkeEpisode:d_nikke_ether_03_6,False,,1,1,1.0,,,,d_nikke_ether_03_8,,,1,idle,,,,,,,,,
d_nikke_ether_03_7,d_nikke_ether_03,Choice,ether,,Locale_NikkeEpisode:d_nikke_ether_03_7,False,,1,1,1.0,,,,d_nikke_ether_03_8,,,1,idle,,,,,,,,,
d_nikke_ether_03_8,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_8,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_9,d_nikke_ether_03,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_03_9,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_10,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_10,True,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
d_nikke_ether_03_11,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_11,True,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
d_nikke_ether_03_12,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_12,True,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
d_nikke_ether_03_13,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_13,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_14,d_nikke_ether_03,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_03_14,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_15,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_15,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_16,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_16,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_17,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_17,True,,1,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_18,d_nikke_ether_03,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_03_18,False,,S_10,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_19,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_19,True,,S_10,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_20,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_20,True,,S_10,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_21,d_nikke_ether_03,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_03_21,False,,S_10,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_22,d_nikke_ether_03,Monologue,ether,Monologue,Locale_NikkeEpisode:d_nikke_ether_03_22,False,,black,black,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_ether_03_23,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_23,True,,S_10,1,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_ether_03_24,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_24,True,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
d_nikke_ether_03_25,d_nikke_ether_03,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_03_25,True,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
d_nikke_ether_03_26,d_nikke_ether_03,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_03_26,False,,1,1,1.0,,,,,,,1,sad,,,,,,,,,
