id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
treasurestory_exia_03_1,treasurestory_exia_03,Narration,Locale_NikkeEpisode:treasurestory_exia_03_1,False,Laboratory,1,1,1.0,sfx_scn_autodooropen,bgm_inark,,,,,,,,,
treasurestory_exia_03_2,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_2,True,,1,1,1.0,,,elegg,elegg,elegg,2,idle,exia,12,idle,
treasurestory_exia_03_3,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_3,True,,1,1,1.0,,,elegg,elegg,,2,idle,,12,idle,
treasurestory_exia_03_4,treasurestory_exia_03,Self,Locale_NikkeEpisode:treasurestory_exia_03_4,False,,1,1,1.0,,,elegg,,,2,idle,,12,idle,
treasurestory_exia_03_5,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_5,True,,1,1,1.0,,,elegg,elegg,,2,idle,,12,idle,
treasurestory_exia_03_6,treasurestory_exia_03,Monologue,Locale_NikkeEpisode:treasurestory_exia_03_6,False,,1,1,1.0,,,elegg,,,2,idle,,12,idle,
treasurestory_exia_03_7,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_7,False,,1,S_20,1.0,,,elegg,elegg,,2,surprise,,12,idle,
treasurestory_exia_03_8,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_8,True,,S_20,S_20,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_9,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_9,True,,S_20,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,Low_2
treasurestory_exia_03_10,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_10,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_11,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_11,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_12,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_12,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_13,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_13,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_14,treasurestory_exia_03,Self,Locale_NikkeEpisode:treasurestory_exia_03_14,False,,S_200,S_200,1.0,,,elegg,,,2,special,,12,idle,
treasurestory_exia_03_15,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_15,True,,S_200,S_120,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_16,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_16,True,,S_120,S_120,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_17,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_17,True,,S_120,S_120,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_18,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_18,True,,S_120,S_1200,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_19,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_19,True,,S_1200,S_20,1.0,,,elegg,elegg,,2,delight,,12,good,
treasurestory_exia_03_20,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_20,True,,S_20,S_20,1.0,,,elegg,elegg,,2,idle,,12,good,
treasurestory_exia_03_21,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_21,True,,S_20,S_20,1.0,,,elegg,elegg,,2,idle,,12,good,
treasurestory_exia_03_22,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_22,True,,S_20,S_200,1.0,,,elegg,elegg,,2,delight,,12,good,
treasurestory_exia_03_23,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_23,True,,S_200,S_200,1.0,,,elegg,elegg,,2,delight,,12,good,
treasurestory_exia_03_24,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_24,False,,S_200,1,1.0,,,exia,exia,,2,delight,,12,idle,
treasurestory_exia_03_25,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_25,True,,1,1,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_26,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_26,True,,1,1,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_27,treasurestory_exia_03,Self,Locale_NikkeEpisode:treasurestory_exia_03_27,False,,1,1,1.0,,,elegg,,,2,delight,,12,idle,
treasurestory_exia_03_28,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_28,True,,1,S_20,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_29,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_29,True,,S_20,S_200,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_30,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_30,True,,S_200,S_200,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_31,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_31,True,,S_200,S_200,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_32,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_32,True,,S_200,S_200,1.0,,,elegg,elegg,,2,delight,,12,idle,
treasurestory_exia_03_33,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_33,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_34,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_34,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_35,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_35,True,,S_200,1,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_36,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_36,True,,1,1,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_37,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_37,True,,1,1,1.0,,,exia,exia,,2,special,,12,good,
treasurestory_exia_03_38,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_38,True,,1,1,1.0,,,elegg,elegg,,2,special,,12,good,
treasurestory_exia_03_40,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_40,True,,1,1,1.0,,,elegg,elegg,,2,special,,12,good,
treasurestory_exia_03_41,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_41,True,,1,1,1.0,,,exia,exia,,2,special,,12,idle,
treasurestory_exia_03_42,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_42,True,,1,1,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_43,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_43,True,,1,1,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_44,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_44,True,,1,1,1.0,,,exia,exia,,2,special,,12,idle,
treasurestory_exia_03_45,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_45,True,,1,S_20,1.0,,,elegg,elegg,,2,special,,12,idle,Low_2
treasurestory_exia_03_46,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_46,True,,S_20,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
treasurestory_exia_03_47,treasurestory_exia_03,Speech,Locale_NikkeEpisode:treasurestory_exia_03_47,True,,S_200,S_200,1.0,,,elegg,elegg,,2,special,,12,idle,
