id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade,play_sound,set_filter_01,characters/0/hide_char_id
d_nikke_maiden_04_1,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_1,True,maiden,1,idle,ingrid,3,angry,City,S_100,S_10,1.0,none,,,,,
d_nikke_maiden_04_2,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_2,True,,1,idle,,3,angry,,S_10,L_30,1.0,bgm_story_fairytalesend_a,,,,,
d_nikke_maiden_04_3,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_3,True,,1,idle,,3,angry,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_4,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_4,True,,1,idle,,3,angry,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_5,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_5,True,,1,idle,,3,angry,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_6,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_6,True,,1,idle,,3,angry,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_7,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_7,True,,1,idle,,3,angry,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_8,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_8,True,,1,idle,,3,angry,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_9,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_9,True,,1,idle,,3,angry,,L_30,2,1.0,none,,,,,
d_nikke_maiden_04_10,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_10,False,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_nikke_maiden_04_11,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_11,True,,1,idle,,3,angry,,2,2,1.0,,,,,,
d_nikke_maiden_04_12,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_12,True,,1,idle,,3,angry,,2,S_10,2.0,bgm_story_herecomestrouble,,,,,
d_nikke_maiden_04_13,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_13,True,,1,idle,,3,idle,,S_10,L_30,1.0,,,,,,
d_nikke_maiden_04_14,d_nikke_maiden_04,Self,ingrid,,Locale_NikkeEpisode:d_nikke_maiden_04_14,False,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_15,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_15,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_16,d_nikke_maiden_04,Self,ingrid,,Locale_NikkeEpisode:d_nikke_maiden_04_16,False,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_17,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_17,False,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_18,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_18,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_19,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_19,True,,1,idle,,3,idle,,S_10,S_10,1.0,,,,,,
d_nikke_maiden_04_20,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_20,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_21,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_21,True,,1,idle,,3,idle,,S_10,S_10,1.0,,,,,,
d_nikke_maiden_04_22,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_22,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_nikke_maiden_04_23,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_23,False,,1,idle,,3,idle,,L_30,2,1.0,,,,,,
d_nikke_maiden_04_24,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_24,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_nikke_maiden_04_25,d_nikke_maiden_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_maiden_04_25,True,,1,idle,,3,angry,,2,2,1.0,,,,,,
d_nikke_maiden_04_26,d_nikke_maiden_04,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_04_26,True,,1,idle,,3,angry,,2,2,1.0,,,,,,
