id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
d_nikke_crown_04_1,d_nikke_crown_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_04_1,False,Desert_02_n,black,black,1.0,none,,,,,,
d_nikke_crown_04_2,d_nikke_crown_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_04_2,False,,black,black,1.0,,,,,,,
d_nikke_crown_04_3,d_nikke_crown_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_04_3,False,,black,black,1.0,,,,,,,
d_nikke_crown_04_4,d_nikke_crown_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_04_4,False,,black,black,1.0,,,,,,,
d_nikke_crown_04_5,d_nikke_crown_04,Self,Self,Locale_NikkeEpisode:d_nikke_crown_04_5,False,,1,1,1.0,bgm_story_weare,,,,,,
d_nikke_crown_04_6,d_nikke_crown_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_04_6,False,,1,1,1.0,,,,,,,
d_nikke_crown_04_7,d_nikke_crown_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_crown_04_7,False,,1,1,0.7,,sfx_scn_emptywind,,,,,
d_nikke_crown_04_8,d_nikke_crown_04,Self,Self,Locale_NikkeEpisode:d_nikke_crown_04_8,False,,1,1,1.0,,,,,,,
d_nikke_crown_04_9,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_9,True,,1,1,1.0,,,crown,crown,1,idle,
d_nikke_crown_04_10,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_10,False,,1,1,1.0,,,,,1,idle,
d_nikke_crown_04_11,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_11,True,,1,1,1.0,,,crown,,1,idle,
d_nikke_crown_04_12,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_12,False,,1,1,1.0,,,,,1,idle,
d_nikke_crown_04_13,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_13,False,,1,1,1.0,,,crown,,1,idle,
d_nikke_crown_04_14,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_14,False,,1,1,1.0,,,,,1,idle,
d_nikke_crown_04_15,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_15,False,,1,1,1.0,,,,,1,idle,
d_nikke_crown_04_16,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_16,True,,1,1,1.0,,,crown,,1,idle,
d_nikke_crown_04_17,d_nikke_crown_04,Monologue,crown,Locale_NikkeEpisode:d_nikke_crown_04_17,False,,black,black,1.0,,,,,1,idle,
d_nikke_crown_04_18,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_18,False,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_19,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_19,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_20,d_nikke_crown_04,Monologue,crown,Locale_NikkeEpisode:d_nikke_crown_04_20,False,,10,10,1.0,,sfx_scn_emptywind,,,1,idle,
d_nikke_crown_04_21,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_21,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_22,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_22,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_23,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_23,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_24,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_24,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_25,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_25,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_26,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_26,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_27,d_nikke_crown_04,Choice,crown,Locale_NikkeEpisode:d_nikke_crown_04_27,False,,10,10,1.0,,,,,1,idle,d_nikke_crown_04_29
d_nikke_crown_04_28,d_nikke_crown_04,Choice,crown,Locale_NikkeEpisode:d_nikke_crown_04_28,False,,10,10,1.0,,,,,1,idle,d_nikke_crown_04_32
d_nikke_crown_04_29,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_29,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_30,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_30,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_31,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_31,True,,10,10,1.0,,,crown,,1,idle,d_nikke_crown_04_34
d_nikke_crown_04_32,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_32,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_33,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_33,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_34,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_34,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_35,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_35,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_36,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_36,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_37,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_37,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_38,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_38,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_39,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_39,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_40,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_40,True,,10,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_41,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_41,False,,100,100,1.0,,,,,1,idle,
d_nikke_crown_04_42,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_42,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_43,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_43,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_44,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_44,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_45,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_45,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_46,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_46,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_47,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_47,True,,100,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_48,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_48,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_49,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_49,False,,10,10,1.0,,,,,1,idle,
d_nikke_crown_04_50,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_50,False,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_51,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_51,True,,10,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_52,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_52,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_53,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_53,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_54,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_54,False,,100,100,1.0,,,,,1,idle,
d_nikke_crown_04_55,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_55,True,,100,100,1.0,,,crown,,1,idle,
d_nikke_crown_04_56,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_56,False,,100,100,1.0,,,,,1,idle,
d_nikke_crown_04_57,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_57,False,,100,100,1.0,,,,,1,idle,
d_nikke_crown_04_58,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_58,False,,100,10,0.5,,,crown,,1,idle,
d_nikke_crown_04_59,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_59,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_60,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_60,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_61,d_nikke_crown_04,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_04_61,True,,10,10,1.0,,,crown,,1,idle,
d_nikke_crown_04_62,d_nikke_crown_04,Self,crown,Locale_NikkeEpisode:d_nikke_crown_04_62,False,,10,10,1.0,,,,,1,idle,
