id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,play_sound,set_camera_shake
d_nikke_pepper_03_1,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_1,False,Hospital,5,5,1.0,none,,,,,,,,,,,,
d_nikke_pepper_03_2,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_2,False,,5,5,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_3,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_3,False,,5,5,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_4,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_4,False,,5,5,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_5,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_5,False,Park_n,5,1,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_6,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_6,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_7,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_7,False,,1,10,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_8,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_8,False,,10,1,1.0,,,,,,,,,,,,,
d_nikke_pepper_03_9,d_nikke_pepper_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_pepper_03_9,False,,1,1,1.0,,pepper,5,idle,,,,,,,,,
d_nikke_pepper_03_10,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_10,True,,1,1,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_11,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_11,False,,1,1,1.0,,,1,idle,,,,,,,,,
d_nikke_pepper_03_12,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_12,True,,1,XS_10,1.0,bgm_story_leisuretime,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_13,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_13,False,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,,
d_nikke_pepper_03_14,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_14,True,,XS_10,XS_10,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_15,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_15,False,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,,
d_nikke_pepper_03_16,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_16,True,,XS_10,XS_10,1.0,,,1,delight,pepper,,,,,,,,
d_nikke_pepper_03_17,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_17,False,,XS_10,XS_10,1.0,,,1,delight,,,,,,,,,
d_nikke_pepper_03_18,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_18,True,,XS_10,XS_10,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_19,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_19,False,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,,
d_nikke_pepper_03_20,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_20,True,,XS_10,XS_10,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_21,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_21,True,,XS_10,XS_10,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_22,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_22,False,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,,
d_nikke_pepper_03_23,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_23,True,,XS_10,1,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_24,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_24,True,,1,1,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_25,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_25,True,,1,1,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_26,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_26,True,,1,1,1.0,,,1,good,pepper,,,,,,,,
d_nikke_pepper_03_27,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_27,False,,1,1,1.0,,,1,good,,,,,,,,,
d_nikke_pepper_03_28,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_28,True,,1,XS_10,1.0,,,1,delight,pepper,,,,,,,,
d_nikke_pepper_03_29,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_29,False,,XS_10,XS_10,1.0,,,1,delight,,,,,,,,,
d_nikke_pepper_03_30,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_30,True,,XS_10,XS_100,1.0,none,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_31,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_31,True,,XS_100,XS_100,1.0,,,1,shy,pepper,,,,,,,,
d_nikke_pepper_03_32,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_32,False,,XS_100,XS_100,1.0,,,1,shy,,,,,,,,,
d_nikke_pepper_03_33,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_33,True,,XS_100,XS_100,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_34,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_34,True,,XS_100,XS_100,1.0,,,1,idle,pepper,,,,,,,,
d_nikke_pepper_03_35,d_nikke_pepper_03,Self,Self,Locale_NikkeEpisode:d_nikke_pepper_03_35,False,,XS_100,XS_100,1.0,,,1,idle,,,,,,,,,
d_nikke_pepper_03_36,d_nikke_pepper_03,Speech,pepper,Locale_NikkeEpisode:d_nikke_pepper_03_36,True,,XS_100,XS_100,1.0,,,1,idle,pepper,,,,,,,,
