id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,jump_target,characters/1/hide_char_id,set_filter_01,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
treasurestory_laplace_05_1,treasurestory_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_05_1,True,laplace,1,idle,maxwell,13,idle,TechIndoor,S_10,12,1.0,bgm_story_whosdumber,,,,,,,,,
treasurestory_laplace_05_2,treasurestory_laplace_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:treasurestory_laplace_05_2,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
treasurestory_laplace_05_3,treasurestory_laplace_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:treasurestory_laplace_05_3,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
treasurestory_laplace_05_4,treasurestory_laplace_05,Monologue,maxwell,,Locale_NikkeEpisode:treasurestory_laplace_05_4,False,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
treasurestory_laplace_05_5,treasurestory_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_05_5,True,,1,shy,,13,idle,,12,S_10,1.0,,,,,,,,,,
treasurestory_laplace_05_6,treasurestory_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_05_6,True,,1,shy,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
treasurestory_laplace_05_7,treasurestory_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_05_7,True,,1,shy,,13,idle,,S_10,S_10,1.0,,,,,,,,,,
treasurestory_laplace_05_8,treasurestory_laplace_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:treasurestory_laplace_05_8,True,,1,shy,,13,idle,,130,130,1.0,,,,,,,,,,
treasurestory_laplace_05_9,treasurestory_laplace_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:treasurestory_laplace_05_9,True,,1,shy,,13,angry,,130,130,1.0,,,,,,,,,,
treasurestory_laplace_05_10,treasurestory_laplace_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:treasurestory_laplace_05_10,True,,1,shy,,13,angry,,130,130,1.0,,,,,,,,,,
treasurestory_laplace_05_11,treasurestory_laplace_05,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_05_11,True,,1,idle,,13,idle,,130,12,1.0,,,,,,,,,,
