id,group_id,speech_window,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_lipSync,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,jump_target,play_sound,conversation_id
d_nikke_mary_01_1,d_nikke_mary_01,Narration,Locale_NikkeEpisode:d_nikke_mary_01_1,none,1,1,1.0,none,,,,,,,,,,,,,,,
d_nikke_mary_01_2,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_2,Hospital,1,S_10,1.0,bgm_story_girlstalk,mary,announcer,,,,,,,,,,,,,
d_nikke_mary_01_3,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_3,,S_10,S_10,1.0,,mary,announcer,,,,,,,,,,,,,
d_nikke_mary_01_4,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_4,,S_10,S_10,1.0,,mary,announcer,,,,,,,,,,,,,
d_nikke_mary_01_5,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_5,,S_10,S_10,1.0,,mary,announcer,mary,1,idle,,,,,,,,,,
d_nikke_mary_01_6,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_6,,S_10,S_10,1.0,,mary,announcer,,1,idle,,,,,,,,,,
d_nikke_mary_01_7,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_7,,S_10,S_10,1.0,,mary,mary,,1,idle,True,,,,,,,,,
d_nikke_mary_01_8,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_8,,S_10,S_10,1.0,,mary,mary,,1,idle,True,,,,,,,,,
d_nikke_mary_01_9,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_9,,black,black,1.0,,mary,unknown,,1,idle,False,,,,,,,,,
d_nikke_mary_01_10,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_10,,S_10,S_10,1.0,,mary,mary,,1,idle,True,,,,,,,,,
d_nikke_mary_01_11,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_11,,S_10,S_10,1.0,,mary,mary,,1,idle,True,,,,,,,,,
d_nikke_mary_01_12,d_nikke_mary_01,Speech,Locale_NikkeEpisode:d_nikke_mary_01_12,,S_10,S_10,1.0,,mary,announcer,,1,idle,,,,,,,,,,
