id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,set_filter_02,characters/3/hide_char_id,conversation_id,jump_target
d_nikke_yulha_01_1,d_nikke_yulha_01,Monologue,Locale_NikkeEpisode:d_nikke_yulha_01_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_2,d_nikke_yulha_01,Narration,Locale_NikkeEpisode:d_nikke_yulha_01_2,False,,1,10,2.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_3,d_nikke_yulha_01,Monologue,Locale_NikkeEpisode:d_nikke_yulha_01_3,False,,10,10,1.0,bgm_story_languor,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_4,d_nikke_yulha_01,Monologue,Locale_NikkeEpisode:d_nikke_yulha_01_4,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_5,d_nikke_yulha_01,Monologue,Locale_NikkeEpisode:d_nikke_yulha_01_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_6,d_nikke_yulha_01,Monologue,Locale_NikkeEpisode:d_nikke_yulha_01_6,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_7,d_nikke_yulha_01,Narration,Locale_NikkeEpisode:d_nikke_yulha_01_7,False,,10,10,1.0,,sfx_scn_knock,,,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_8,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_8,True,,black,black,1.0,,,rapi,rapi,,,,,,,,,,,,,,,,,,,,
d_nikke_yulha_01_9,d_nikke_yulha_01,Narration,Locale_NikkeEpisode:d_nikke_yulha_01_9,False,,10,12,1.0,,,rapi,,rapi,1,idle,anis,13,idle,neon,15,idle,,,,,,,,,,,
d_nikke_yulha_01_10,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_10,True,,12,12,1.0,,,anis,anis,,1,idle,,13,angry,,15,no,,,,,,,,,,,
d_nikke_yulha_01_11,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_11,True,,12,14,2.0,,,neon,neon,,1,idle,,13,angry,,15,no,,,,,,,,,,,
d_nikke_yulha_01_12,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_12,True,,10,10,1.0,,,rapi,rapi,,1,idle,,13,angry,,15,no,,,,,,,,,,,
d_nikke_yulha_01_13,d_nikke_yulha_01,Self,Locale_NikkeEpisode:d_nikke_yulha_01_13,False,,10,10,1.0,,,rapi,,,1,idle,,13,void,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_14,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_14,True,,10,10,1.0,,,rapi,rapi,,1,idle,,13,void,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_15,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_15,True,,10,10,1.0,,,rapi,rapi,,1,worry,,13,void,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_16,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_16,True,,10,130,1.0,none,,anis,anis,,1,worry,,13,angry,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_17,d_nikke_yulha_01,Self,Locale_NikkeEpisode:d_nikke_yulha_01_17,False,,130,130,1.0,,,anis,,,1,idle,,13,angry,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_18,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_18,True,,130,1300,0.5,bgm_story_herecomestrouble,,anis,anis,,1,idle,,13,angry,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_19,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_19,True,,1300,1300,1.0,,,anis,anis,,1,idle,,13,angry,,15,idle,,,,,,,,,,,
d_nikke_yulha_01_20,d_nikke_yulha_01,Speech,Locale_NikkeEpisode:d_nikke_yulha_01_20,True,,1300,14,1.0,,,neon,neon,,1,idle,,13,angry,,15,surprise,,,,,,,,,,,
