id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
d_nikke_ein_02_1,d_nikke_ein_02,Monologue,Locale_NikkeEpisode:d_nikke_ein_02_1,False,Park_n,1,1,1.0,bgm_inark,,,,,,
d_nikke_ein_02_2,d_nikke_ein_02,Monologue,Locale_NikkeEpisode:d_nikke_ein_02_2,False,,1,1,1.0,,,,,,,
d_nikke_ein_02_3,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_3,False,,1,1,1.0,,,,,,,
d_nikke_ein_02_4,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_4,True,,1,10,1.0,,ein,ein,ein,1,surprise,
d_nikke_ein_02_5,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_5,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_6,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_6,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_7,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_7,False,,10,10,1.0,,ein,,,1,surprise,
d_nikke_ein_02_8,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_8,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_9,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_9,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_10,d_nikke_ein_02,Monologue,Locale_NikkeEpisode:d_nikke_ein_02_10,False,,10,10,1.0,,ein,,,1,idle,
d_nikke_ein_02_11,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_11,False,,10,10,1.0,,ein,,,1,idle,
d_nikke_ein_02_12,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_12,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_13,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_13,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_14,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_14,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_15,d_nikke_ein_02,Choice,Locale_NikkeEpisode:d_nikke_ein_02_15,False,,10,10,1.0,,ein,,,1,idle,d_nikke_ein_02_17
d_nikke_ein_02_16,d_nikke_ein_02,Choice,Locale_NikkeEpisode:d_nikke_ein_02_16,False,,10,10,1.0,,ein,,,1,idle,d_nikke_ein_02_19
d_nikke_ein_02_17,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_17,True,,10,100,1.0,,ein,ein,,1,delight,
d_nikke_ein_02_18,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_18,True,,100,100,1.0,,ein,ein,,1,delight,d_nikke_ein_02_22
d_nikke_ein_02_19,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_19,True,,10,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_20,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_20,True,,100,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_21,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_21,True,,100,100,1.0,,ein,ein,,1,no,d_nikke_ein_02_22
d_nikke_ein_02_22,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_22,True,,100,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_23,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_23,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_24,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_24,True,,10,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_25,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_25,True,,10,10,1.0,,ein,ein,,1,idle,
