id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,set_camera_shake,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_marciana_02_1,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_1,False,Classroom,13,13,1.0,sfx_scn_schoolbell,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,
d_nikke_marciana_02_2,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_2,True,,13,130,1.0,,,marciana,marciana,marciana,13,idle,rei,1,idle,ein,3,delight,zwei,5,idle,,,,,,
d_nikke_marciana_02_3,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_3,True,,130,130,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_4,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_4,True,,130,130,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_5,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_5,True,,130,130,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_6,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_6,True,,4,4,1.0,,,zwei,zwei,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_7,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_7,True,,4,4,1.0,,,ein,ein,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_8,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_8,True,,4,2,1.0,,,rei,rei,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_9,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_9,False,,130,130,1.0,,,marciana,marciana,,13,think,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_10,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_10,False,,black,black,1.0,,,,,,13,think,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_11,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_11,True,,130,130,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_12,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_12,True,,30,30,1.0,,,ein,ein,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_13,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_13,False,,XS_10,XS_10,1.0,,,rei,,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_14,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_14,False,,30,30,1.0,,,rei,,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_15,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_15,False,,30,2,1.0,,,rei,,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_16,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_16,True,,130,130,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_17,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_17,True,,130,130,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_18,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_18,True,,50,50,1.0,,,zwei,zwei,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_19,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_19,False,,XS_10,XS_10,1.0,,,rei,,,13,idle,,1,idle,,3,delight,,5,idle,zwei,,,,,
d_nikke_marciana_02_20,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_20,False,,XS_10,XS_10,1.0,,,rei,,,13,idle,,1,idle,,3,delight,,,,,,,,,
d_nikke_marciana_02_21,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_21,False,,XS_10,XS_10,1.0,,,rei,,,13,idle,,1,idle,,3,delight,,,,,,,,,
d_nikke_marciana_02_22,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_22,False,,130,130,1.0,,,marciana,marciana,,13,think,,1,idle,,3,delight,,,,,,,,,
d_nikke_marciana_02_23,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_23,True,,130,13,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,zwei,5,idle,,,,,,
d_nikke_marciana_02_24,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_24,True,,13,13,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_25,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_25,True,,50,50,1.0,,,zwei,zwei,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_26,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_26,True,,13,13,1.0,,,marciana,marciana,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_27,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_27,False,,13,12,1.0,,,,,,13,idle,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_28,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_28,True,,12,12,1.0,,,marciana,marciana,,13,special,,1,idle,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_29,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_29,True,,12,XS_10,0.6,,none,rei,rei,,13,special,,1,no,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_30,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_30,True,,XS_10,XS_10,1.0,,,rei,rei,,13,special,,1,no,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_31,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_31,True,,XS_10,1,0.6,,bgm_story_herecomestrouble,rei,rei,,13,special,,1,cry,,3,delight,,5,idle,,Low_2,,,,
d_nikke_marciana_02_32,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_32,False,,130,130,1.0,,,marciana,marciana,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_33,d_nikke_marciana_02,Self,Locale_NikkeEpisode:d_nikke_marciana_02_33,False,,130,130,1.0,,,,,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_34,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_34,True,,XS_10,XS_10,1.0,,,rei,rei,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_35,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_35,True,,XS_10,XS_10,1.0,,,rei,rei,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_36,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_36,True,,XS_10,XS_10,1.0,,,rei,rei,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_37,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_37,True,,130,130,1.0,,,marciana,marciana,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_38,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_38,True,,XS_10,XS_10,1.0,,,rei,rei,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_39,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_39,True,,XS_10,XS_10,1.0,,,rei,rei,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_40,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_40,True,,XS_10,XS_10,1.0,,,rei,rei,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_41,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_41,False,,130,12,1.0,,,,,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_42,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_42,False,,12,12,1.0,,,,,,13,surprise,,1,cry,,3,delight,,5,idle,,,,,,
d_nikke_marciana_02_43,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_43,True,,30,30,1.0,,,ein,ein,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_44,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_44,True,,30,30,1.0,,,ein,ein,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_45,d_nikke_marciana_02,Self,Locale_NikkeEpisode:d_nikke_marciana_02_45,False,,30,30,1.0,,,,,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_46,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_46,True,,12,12,1.0,,,marciana,marciana,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_47,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_47,True,,12,12,1.0,,,marciana,marciana,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_48,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_48,True,,12,12,1.0,,,rei,rei,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_49,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_49,True,,12,12,1.0,,,rei,rei,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_50,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_50,False,,12,13,1.0,,,,,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_51,d_nikke_marciana_02,Narration,Locale_NikkeEpisode:d_nikke_marciana_02_51,False,,13,130,1.0,,,,,,13,surprise,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_52,d_nikke_marciana_02,Speech,Locale_NikkeEpisode:d_nikke_marciana_02_52,True,,130,130,1.0,,,marciana,marciana,,13,panic,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_53,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_53,False,,130,130,1.0,,,,,,13,panic,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_54,d_nikke_marciana_02,Monologue,Locale_NikkeEpisode:d_nikke_marciana_02_54,False,,130,130,1.0,,,,,,13,panic,,1,cry,,3,idle,,5,idle,,,,,,
d_nikke_marciana_02_55,d_nikke_marciana_02,Choice,Locale_NikkeEpisode:d_nikke_marciana_02_55,False,,130,130,1.0,,,,,,13,panic,,1,cry,,3,idle,,5,idle,,,d_nikke_marciana_02_57,,,
d_nikke_marciana_02_56,d_nikke_marciana_02,Choice,Locale_NikkeEpisode:d_nikke_marciana_02_56,False,,130,130,1.0,,,,,,13,panic,,1,cry,,3,idle,,5,idle,,,d_nikke_marciana_02_71,,,
