id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,fade
d_nikke_soline_02_1,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_1,True,soline,1,idle,CommanderRoom,S_10,S_10,1.0,bgm_story_languor,,,
d_nikke_soline_02_2,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_2,True,,1,idle,,S_10,S_10,1.0,,,,
d_nikke_soline_02_3,d_nikke_soline_02,Choice,soline,,Locale_NikkeEpisode:d_nikke_soline_02_3,False,,1,idle,,S_10,S_10,1.0,,d_nikke_soline_02_5,,
d_nikke_soline_02_4,d_nikke_soline_02,Choice,soline,,Locale_NikkeEpisode:d_nikke_soline_02_4,False,,1,idle,,S_10,S_10,1.0,,d_nikke_soline_02_13,,
d_nikke_soline_02_5,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_5,True,,1,pain,,S_10,S_100,2.0,,,,
d_nikke_soline_02_6,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_6,True,,1,surprise,,S_100,S_100,1.0,,,,
d_nikke_soline_02_7,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_7,True,,1,shy,,S_100,S_10,0.5,,,,
d_nikke_soline_02_8,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_8,False,,1,surprise,,S_10,S_10,1.0,,,,
d_nikke_soline_02_9,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_9,True,,1,surprise,,S_10,S_10,1.0,,,,
d_nikke_soline_02_10,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_10,True,,1,angry,,S_10,S_10,1.0,,,,
d_nikke_soline_02_11,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_11,True,,1,angry,,S_10,S_10,1.0,,,,
d_nikke_soline_02_12,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_12,True,,1,angry,,S_10,S_10,1.0,,d_nikke_soline_02_19,,
d_nikke_soline_02_13,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_13,True,,1,pain,,S_10,S_100,0.5,,,,
d_nikke_soline_02_14,d_nikke_soline_02,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_02_14,False,,1,pain,,S_100,S_100,1.0,,,,
d_nikke_soline_02_15,d_nikke_soline_02,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_02_15,True,,1,shy,,S_100,S_100,1.0,,,,
d_nikke_soline_02_16,d_nikke_soline_02,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_02_16,False,,1,shy,,S_100,S_100,1.0,,,,
