id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,jump_target
d_nikke_anis_03_1,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_1,True,anis,1,delight,RoyalRoad,9,4,1.0,bgm_story_backtonormal,,,,,,,,,,,,,
d_nikke_anis_03_2,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_2,True,,1,delight,,4,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_3,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_3,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_4,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_4,False,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_5,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_5,True,,1,idle,,10,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_6,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_6,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_7,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_7,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_8,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_8,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_9,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_9,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_10,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_10,True,,1,idle,City,1,1,1.0,,anis,adultman,2,idle,adultwoman,12,idle,Grey,,,,,
d_nikke_anis_03_11,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_11,True,,,,,1,1,1.0,,,,2,idle,,12,idle,Grey,,,,,
