id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_volume_03_1,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_1,True,Stage,130,130,1.0,bgm_story_girlstalk,,,,,volume,5,idle,,mc,13,idle,,,,,
d_nikke_volume_03_2,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_2,True,,130,130,1.0,,,,,,,5,idle,,,13,idle,,,,,
d_nikke_volume_03_3,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_3,True,,130,130,1.0,,,,,,,5,idle,,,13,idle,,,,,
d_nikke_volume_03_4,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_4,False,,130,130,1.0,,sfx_scn_crowdclap,,,,,5,idle,,,13,idle,,,,,
d_nikke_volume_03_5,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_5,True,,130,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_6,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_6,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_7,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_7,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_8,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_8,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_9,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_9,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_10,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_10,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_11,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_11,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_12,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_12,True,,113,S_10,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_13,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_13,True,,S_10,130,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_14,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_14,True,,130,130,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_15,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_15,True,,130,130,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_16,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_16,True,,130,130,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_17,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_17,True,,130,1,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_18,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_18,True,,1,1,1.0,,,,,,,1,idle,,,13,idle,,,,,
