id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound
treasurestory_julia_04_1,treasurestory_julia_04,Speech,cocoa,cocoa,Locale_NikkeEpisode:treasurestory_julia_04_1,True,cocoa,2,idle,julia,12,surprise,MaidCafe,XS_20,XS_20,1.0,bgm_story_girlstalk,,,
treasurestory_julia_04_2,treasurestory_julia_04,Self,cocoa,,Locale_NikkeEpisode:treasurestory_julia_04_2,False,,2,idle,,12,surprise,,XS_20,XS_20,1.0,,,,
treasurestory_julia_04_3,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_3,True,,2,idle,,12,surprise,,XS_20,1,1.3,,,,
treasurestory_julia_04_4,treasurestory_julia_04,Speech,cocoa,cocoa,Locale_NikkeEpisode:treasurestory_julia_04_4,True,,2,idle,,12,surprise,,1,1,1.0,,,,
treasurestory_julia_04_5,treasurestory_julia_04,Self,cocoa,,Locale_NikkeEpisode:treasurestory_julia_04_5,False,,2,idle,,12,surprise,,1,1,1.0,,,,
treasurestory_julia_04_6,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_6,False,,2,idle,,12,idle,,1,S_120,1.3,,,,
treasurestory_julia_04_7,treasurestory_julia_04,Monologue,julia,,Locale_NikkeEpisode:treasurestory_julia_04_7,False,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_8,treasurestory_julia_04,Self,julia,,Locale_NikkeEpisode:treasurestory_julia_04_8,False,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_9,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_9,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_10,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_10,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_11,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_11,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_12,treasurestory_julia_04,Self,julia,,Locale_NikkeEpisode:treasurestory_julia_04_12,False,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_13,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_13,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_14,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_14,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_15,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_15,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_16,treasurestory_julia_04,Speech,julia,julia,Locale_NikkeEpisode:treasurestory_julia_04_16,True,,2,idle,,12,idle,,S_120,S_120,1.0,,,,
treasurestory_julia_04_17,treasurestory_julia_04,Choice,julia,,Locale_NikkeEpisode:treasurestory_julia_04_17,False,,2,idle,,12,idle,,S_120,S_120,1.0,,treasurestory_julia_04_19,,
